ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
66,134,1,2021-03-25,1,2,229,3434,11.0,190,1,0
67,137,1,2021-03-03,1,24,650,7498,177.0,191,1,0
68,138,1,2021-12-25,5,40,555,6801,124.0,202,1,0
69,140,1,2021-03-21,1,8,411,5664,65.0,205,1,0
70,140,1,2021-03-16,1,8,411,5664,66.0,206,1,0
71,141,1,2021-10-18,1,4,295,4559,39.0,208,1,0
72,141,1,2021-09-12,1,4,295,4559,35.0,209,1,0
73,148,1,2021-03-07,1,1,111,1330,2.0,218,1,0
74,149,1,2021-05-25,6,42,416,5704,,220,1,0
75,150,1,2021-01-09,1,24,649,7490,176.0,222,1,0
76,150,1,2021-01-05,1,24,649,7490,179.0,223,1,0
77,158,1,2021-09-17,1,1,64,520,1.0,233,1,0
78,159,1,2021-05-09,1,6,358,5274,50.0,235,1,0
79,160,2,2021-11-15,1,1,38,41,5.0,237,1,0
80,161,1,2021-12-17,1,2,238,3592,14.0,238,1,0
81,163,1,2021-05-18,1,5,344,5169,41.0,239,1,0
82,166,1,2021-12-10,1,27,677,7689,201.0,243,1,0
83,167,1,2022-05-03,1,3,269,4130,28.0,244,1,0
84,168,1,2021-04-01,1,22,635,7385,166.0,245,1,0
85,169,1,2021-11-16,2,37,354,5247,49.0,247,1,0
86,170,1,2021-09-18,1,1,100,1151,10.0,248,1,0
87,172,1,2021-07-15,1,2,230,3455,11.0,251,1,0
88,175,2,2021-03-11,2,37,690,7795,210.0,253,1,0
89,176,1,2021-07-27,1,3,259,3970,28.0,254,1,0
90,179,2,2021-09-12,1,1,46,182,4.0,258,1,0
91,179,1,2021-10-10,1,1,46,182,2.0,259,1,0
92,182,1,2021-10-14,1,33,722,8039,241.0,262,1,0
93,183,1,2021-11-01,1,1,197,2867,3.0,263,1,0
94,187,1,2021-06-26,1,1,153,2045,7.0,266,1,0
95,188,1,2021-05-26,1,12,500,6370,94.0,267,1,0
96,190,1,2021-07-22,1,16,556,6810,,268,1,0
97,191,1,2021-01-16,1,1,95,1075,4.0,269,1,0
98,192,1,2022-01-01,1,5,342,5151,47.0,270,1,0
99,195,1,2021-10-17,1,1,73,695,5.0,275,1,0
100,197,1,2021-03-06,1,23,645,7469,169.0,276,1,0
101,198,1,2021-06-08,2,37,497,6358,91.0,277,1,0
102,198,1,2021-06-08,1,12,497,6358,95.0,279,1,0
103,201,1,2021-12-04,1,11,472,6155,85.0,283,1,0
104,201,1,2021-12-10,1,11,472,6155,87.0,284,1,0
105,204,1,2021-10-28,1,2,230,3459,,287,1,0
106,208,1,2021-10-06,1,18,589,7048,138.0,290,1,0
107,209,1,2021-10-18,1,1,189,2738,8.0,292,1,0
108,210,1,2021-03-05,1,4,309,4810,33.0,294,1,0
109,212,1,2021-02-13,1,1,41,93,2.0,295,1,0
110,213,1,2021-03-01,1,2,215,3209,18.0,296,1,0
111,214,1,2022-01-05,1,6,372,5370,48.0,297,1,0
112,214,1,2021-12-26,1,6,372,5370,53.0,298,1,0
113,218,1,2021-07-12,1,13,519,6531,99.0,303,1,0
114,222,1,2021-03-21,1,18,584,7013,132.0,305,1,0
115,223,1,2021-05-15,1,6,366,5327,49.0,306,1,0
116,225,2,2021-03-01,1,2,222,3311,11.0,308,1,0
117,227,1,2021-12-30,1,24,646,7475,,309,1,0
118,228,1,2021-04-02,1,1,186,2687,6.0,310,1,0
119,230,1,2021-07-07,1,2,247,3760,20.0,311,1,0
120,231,1,2021-11-27,1,21,619,7270,156.0,313,1,0
121,235,1,2021-09-20,1,31,706,7917,227.0,325,1,0
122,236,1,2021-07-25,1,1,121,1499,8.0,326,1,0
123,238,1,2021-11-24,1,6,367,5338,48.0,327,1,0
124,240,1,2021-08-19,1,13,525,6570,97.0,329,1,0
125,242,1,2021-02-02,1,21,620,7280,157.0,330,1,0
126,243,1,2021-04-06,1,4,295,4546,32.0,331,1,0
127,249,1,2021-10-27,1,11,479,6222,83.0,340,1,0
128,250,1,2021-10-04,1,7,391,5511,60.0,341,1,0
129,254,1,2021-09-27,1,1,76,748,1.0,344,1,0
130,254,1,2021-09-27,1,1,76,748,8.0,345,1,0
131,255,2,2021-10-04,1,11,486,6269,84.0,347,1,0
132,258,1,2021-06-20,1,3,279,4282,28.0,348,1,0
133,259,1,2021-12-16,1,5,349,5194,46.0,349,1,0
134,259,1,2021-12-18,1,5,349,5194,42.0,350,1,0
135,261,1,2021-03-21,1,1,188,2719,4.0,353,1,0
136,262,1,2021-04-21,1,5,327,5047,46.0,354,1,0
137,263,1,2021-03-04,1,18,586,7029,136.0,355,1,0
138,264,1,2021-09-10,1,12,509,6446,94.0,356,1,0
139,266,1,2021-10-19,1,8,424,5775,67.0,358,1,0
140,270,1,2021-04-12,1,29,692,7806,,361,1,0
141,273,2,2021-07-03,1,8,407,5633,66.0,363,1,0
142,276,1,2022-01-01,3,38,274,4198,22.0,366,1,0
143,277,1,2021-12-05,8,44,355,5249,,369,1,0
144,280,1,2021-01-18,1,29,693,7818,215.0,376,1,0
145,281,1,2021-08-14,1,1,141,1858,3.0,377,1,0
146,282,1,2021-09-16,1,3,255,3896,28.0,381,1,0
147,283,1,2021-10-29,1,1,60,447,1.0,384,1,0
148,285,1,2021-09-25,1,6,369,5354,49.0,386,1,0
149,286,1,2021-11-29,1,9,443,5921,75.0,390,1,0
150,288,1,2021-10-20,1,17,568,6898,130.0,392,1,0
151,291,1,2021-02-18,1,3,266,4080,26.0,394,1,0
152,292,1,2021-09-27,1,20,614,7240,,396,1,0
153,293,1,2021-11-30,1,3,275,4213,25.0,397,1,0
154,294,1,2021-02-15,1,18,588,7039,133.0,400,1,0
155,295,1,2022-01-08,1,12,504,6407,91.0,401,1,0
156,296,1,2021-10-20,1,4,307,4772,37.0,402,1,0
157,296,2,2021-11-01,1,4,307,4772,32.0,404,1,0
158,298,1,2021-08-23,5,40,538,6669,107.0,407,1,0
159,300,1,2022-01-06,1,3,256,3910,23.0,411,1,0
160,301,1,2021-10-11,1,10,464,6088,76.0,412,1,0
161,302,2,2021-10-20,1,1,53,321,,421,1,0
162,303,1,2021-04-07,1,10,467,6118,79.0,422,1,0
163,305,1,2021-11-16,1,1,202,2935,8.0,424,1,0
164,306,1,2021-12-10,1,1,173,2444,7.0,427,1,0
165,310,1,2021-04-01,1,12,492,6319,96.0,435,1,0
166,311,1,2021-05-18,1,7,392,5519,56.0,437,1,0
167,314,1,2021-11-27,1,1,68,625,5.0,441,1,0
168,317,1,2021-12-08,1,24,649,7492,178.0,443,1,0
169,319,1,2021-03-15,9,45,273,4189,,446,1,0
170,320,1,2021-04-07,1,11,482,6240,87.0,448,1,0
171,321,1,2021-04-13,1,34,727,8075,248.0,450,1,0
172,321,1,2021-03-19,9,45,727,8075,247.0,451,1,0
173,322,1,2021-03-22,1,1,169,2352,6.0,453,1,0
174,325,2,2021-05-01,1,1,82,878,8.0,454,1,0
175,326,1,2021-12-22,1,22,630,7351,165.0,455,1,0
176,329,1,2021-08-07,1,3,255,3890,26.0,458,1,0
177,330,1,2021-06-06,1,3,281,4316,22.0,462,1,0
178,332,1,2021-05-11,1,22,628,7330,163.0,473,1,0
179,333,1,2021-06-14,1,1,44,151,3.0,474,1,0
180,338,1,2021-04-15,1,23,643,7452,172.0,478,1,0
181,338,2,2021-04-14,1,23,643,7452,167.0,481,1,0
182,340,1,2021-09-15,1,5,324,5024,,484,1,0
183,341,1,2021-03-31,1,8,409,5649,67.0,485,1,0
184,343,1,2021-06-08,1,1,53,327,7.0,486,1,0
185,347,1,2021-09-02,5,41,642,7445,170.0,492,1,0
186,348,2,2021-10-06,1,1,42,120,2.0,493,1,0
187,348,2,2021-10-12,5,40,42,120,9.0,494,1,0
188,350,1,2021-03-22,1,6,373,5384,48.0,496,1,0
189,353,1,2021-03-05,1,1,60,448,5.0,501,1,0
190,354,2,2021-07-19,1,18,583,7007,133.0,503,1,0
191,356,1,2021-08-03,1,10,452,5997,79.0,505,1,0
192,358,1,2021-05-28,1,3,257,3933,21.0,507,1,0
193,359,1,2021-01-31,1,1,72,690,2.0,508,1,0
194,361,2,2021-01-04,1,2,215,3209,13.0,509,1,0
195,362,1,2021-09-17,1,10,463,6084,81.0,511,1,0
196,366,1,2021-08-03,1,6,356,5257,52.0,515,1,0
197,369,1,2021-09-05,1,5,330,5067,43.0,519,1,0
198,374,1,2021-08-24,1,1,71,677,,530,1,0
199,377,1,2021-01-23,1,30,703,7885,218.0,533,1,0
200,380,2,2021-08-01,1,10,465,6101,80.0,538,1,0
201,382,1,2021-10-06,1,1,189,2731,4.0,542,1,0
202,383,1,2021-12-21,1,16,557,6819,118.0,543,1,0
203,384,1,2021-06-06,1,8,415,5694,68.0,545,1,0
204,385,1,2021-03-10,1,7,380,5437,57.0,546,1,0
205,386,1,2021-08-18,1,1,171,2385,8.0,548,1,0
206,387,1,2021-02-25,1,31,704,7897,228.0,549,1,0
207,389,1,2021-04-23,1,1,201,2924,10.0,552,1,0
208,395,1,2021-04-22,1,6,371,5362,54.0,560,1,0
209,395,1,2021-04-28,1,6,371,5362,48.0,562,1,0
210,400,1,2021-05-11,1,5,320,4987,47.0,567,1,0
211,400,1,2021-05-10,1,5,320,4987,45.0,571,1,0
212,405,1,2021-02-25,1,9,429,5819,75.0,578,1,0
213,408,1,2021-06-20,1,28,687,7768,,580,1,0
214,409,1,2022-02-06,1,5,336,5110,44.0,581,1,0
215,412,1,2021-09-13,1,9,433,5845,71.0,583,1,0
216,417,1,2021-11-15,1,10,462,6079,79.0,586,1,0
217,418,1,2021-05-02,1,34,725,8060,244.0,587,1,0
218,420,1,2021-12-14,1,4,301,4675,36.0,589,1,0
219,421,1,2021-10-27,1,12,495,6341,94.0,591,1,0
220,422,1,2022-01-09,2,37,713,7973,236.0,592,1,0
221,425,1,2021-08-22,1,19,593,7079,141.0,594,1,0
222,426,1,2021-10-10,1,25,656,7534,181.0,596,1,0
223,427,1,2021-02-18,1,1,104,1216,6.0,597,1,0
224,428,1,2021-09-02,1,18,584,7011,132.0,598,1,0
225,429,1,2021-01-31,1,7,398,5568,55.0,599,1,0
226,433,1,2021-04-15,1,3,273,4181,24.0,604,1,0
227,434,1,2021-02-05,1,10,460,6062,76.0,605,1,0
228,436,1,2021-11-10,1,23,638,7414,169.0,606,1,0
229,437,1,2021-10-11,1,8,418,5719,66.0,607,1,0
230,438,1,2021-05-23,1,29,695,7826,,608,1,0
231,440,1,2021-04-24,1,4,310,4822,34.0,613,1,0
232,441,1,2021-05-12,1,14,536,6652,106.0,614,1,0
233,445,1,2021-04-21,1,8,419,5733,64.0,617,1,0
234,449,1,2021-04-11,1,6,375,5397,,621,1,0
235,450,1,2021-05-17,1,27,673,7654,201.0,623,1,0
236,454,2,2021-12-29,1,28,683,7739,206.0,628,1,0
237,457,1,2021-02-03,1,33,721,8034,239.0,632,1,0
238,458,1,2021-06-15,1,6,361,5301,48.0,634,1,0
239,461,1,2021-11-26,1,9,449,5970,74.0,638,1,0
240,464,1,2022-01-26,1,1,91,1008,9.0,639,1,0
241,467,1,2021-02-13,1,5,332,5083,42.0,643,1,0
242,468,2,2021-12-29,1,12,503,6396,90.0,644,1,0
243,469,1,2021-08-05,1,4,293,4522,38.0,648,1,0
244,476,1,2022-01-14,1,31,707,7922,226.0,652,1,0
245,477,1,2021-09-22,1,1,183,2634,8.0,656,1,0
246,478,1,2021-02-16,1,7,384,5470,56.0,658,1,0
247,479,2,2021-05-04,1,18,590,7062,133.0,659,1,0
248,480,1,2021-03-12,1,23,639,7417,169.0,660,1,0
249,481,1,2021-05-13,1,1,195,2827,6.0,661,1,0
250,482,1,2021-01-08,1,3,256,3900,,662,1,0
251,485,1,2021-01-23,1,29,695,7827,215.0,664,1,0
252,487,1,2021-05-27,5,41,676,7681,196.0,665,1,0
253,488,1,2021-11-20,1,2,225,3378,,667,1,0
254,488,1,2021-11-20,1,2,225,3378,20.0,670,1,0
255,489,1,2021-04-15,1,26,665,7602,189.0,673,1,0
256,490,1,2021-04-07,1,25,655,7532,185.0,674,1,0
257,493,1,2021-11-05,1,28,686,7762,205.0,675,1,0
258,495,1,2021-11-10,1,1,79,816,5.0,677,1,0
259,496,1,2021-12-24,1,2,224,3345,16.0,680,1,0
260,500,2,2021-10-23,1,8,419,5734,64.0,687,1,0
261,501,1,2021-09-21,1,1,135,1758,1.0,689,1,0
262,502,1,2021-04-05,1,30,699,7856,221.0,690,1,0
263,503,1,2021-02-12,1,1,166,2284,3.0,691,1,0
264,505,1,2021-09-21,1,4,300,4651,,692,1,0
265,506,2,2021-08-10,1,3,257,3920,26.0,701,1,0
266,510,1,2021-06-11,1,12,497,6359,92.0,705,1,0
267,511,1,2021-09-08,1,29,690,7795,210.0,709,1,0
268,516,1,2021-05-22,1,1,86,943,10.0,718,1,0
269,518,1,2021-02-04,1,1,124,1550,5.0,720,1,0
270,523,1,2021-09-02,1,9,446,5946,73.0,722,1,0
271,523,2,2021-10-02,1,9,446,5946,74.0,724,1,0
272,524,1,2022-01-12,1,1,209,3085,9.0,726,1,0
273,524,1,2021-12-22,1,1,209,3085,5.0,728,1,0
274,525,1,2021-07-12,1,26,669,7624,189.0,730,1,0
275,526,1,2021-09-13,1,22,631,7357,161.0,731,1,0
276,527,2,2021-03-25,1,1,163,2225,8.0,732,1,0
277,528,2,2021-08-18,8,44,283,4360,25.0,733,1,0
278,535,1,2021-11-26,8,44,154,2056,8.0,739,1,0
279,536,1,2021-09-06,1,1,146,1920,1.0,740,1,0
280,537,1,2021-11-07,1,11,485,6264,84.0,741,1,0
281,538,1,2021-07-23,1,3,260,3974,22.0,742,1,0
282,540,1,2021-03-22,1,5,323,5011,41.0,744,1,0
283,545,2,2021-11-08,1,18,582,6999,137.0,750,1,0
284,546,1,2021-03-25,1,4,298,4613,40.0,751,1,0
285,546,2,2021-04-23,1,4,298,4613,34.0,753,1,0
286,547,1,2021-11-05,1,15,543,6701,114.0,755,1,0
287,549,1,2021-02-20,1,35,730,8100,253.0,757,1,0
288,551,1,2021-03-10,1,14,532,6623,107.0,759,1,0
289,554,2,2021-06-09,1,9,441,5904,74.0,764,1,0
290,557,1,2021-05-29,1,4,311,4848,38.0,768,1,0
291,558,1,2021-03-31,1,9,440,5894,,770,1,0
292,559,1,2021-01-31,1,3,272,4163,21.0,772,1,0
293,560,1,2021-12-15,1,14,530,6604,109.0,773,1,0
294,561,1,2021-07-08,1,1,106,1261,9.0,776,1,0
295,561,1,2021-06-15,1,1,106,1261,4.0,777,1,0
296,563,2,2021-06-04,1,1,61,468,9.0,779,1,0
297,565,1,2021-09-19,2,37,549,6751,112.0,780,1,0
298,567,1,2021-09-18,1,10,465,6102,82.0,781,1,0
299,569,2,2021-07-11,1,3,255,3888,24.0,783,1,0
300,570,1,2021-08-18,1,30,702,7880,216.0,785,1,0
301,571,2,2021-03-23,1,11,487,6283,88.0,786,1,0
302,572,1,2021-08-06,1,26,668,7620,194.0,787,1,0
303,575,1,2021-09-13,1,1,93,1030,10.0,789,1,0
304,581,1,2021-06-28,1,8,424,5778,63.0,791,1,0
305,585,1,2021-04-14,1,2,234,3525,12.0,795,1,0
306,588,2,2021-02-15,1,1,209,3077,10.0,799,1,0
307,589,1,2021-03-07,1,6,374,5394,53.0,800,1,0
308,589,2,2021-03-08,3,38,374,5394,50.0,801,1,0
309,590,1,2021-12-12,1,9,432,5838,75.0,803,1,0
310,591,1,2021-04-15,1,2,226,3388,18.0,806,1,0
311,592,1,2021-02-19,1,1,46,185,8.0,807,1,0
312,598,1,2021-06-17,1,6,359,5283,52.0,812,1,0
313,598,1,2021-08-20,1,6,359,5283,53.0,813,1,0
314,601,1,2021-10-25,2,36,505,6411,93.0,815,1,0
315,605,1,2021-07-08,1,1,163,2228,5.0,819,1,0
316,606,1,2021-01-19,1,7,385,5472,59.0,820,1,0
317,606,1,2021-01-18,1,7,385,5472,58.0,821,1,0
318,613,1,2021-02-28,1,6,354,5242,54.0,823,1,0
319,615,2,2021-01-29,1,2,238,3603,12.0,828,1,0
320,619,1,2021-03-17,1,26,669,7625,190.0,841,1,0
321,624,1,2021-04-24,1,2,228,3422,19.0,844,1,0
322,626,1,2021-10-17,1,11,488,6286,89.0,845,1,0
323,627,1,2022-01-02,1,19,594,7091,139.0,846,1,0
324,628,1,2021-11-17,1,1,91,1011,,848,1,0
325,629,1,2021-05-21,1,7,400,5581,57.0,851,1,0
326,637,1,2021-04-01,1,20,614,7239,146.0,858,1,0
327,639,1,2021-08-12,1,25,656,7535,181.0,860,1,0
328,640,1,2021-01-23,1,2,246,3740,17.0,862,1,0
329,641,1,2021-09-01,1,9,434,5849,69.0,869,1,0
330,645,1,2021-02-20,1,1,100,1155,5.0,874,1,0
331,646,1,2021-08-08,1,1,82,859,,875,1,0
332,646,1,2021-07-31,1,1,82,859,5.0,877,1,0
333,651,1,2021-10-05,1,2,217,3237,14.0,882,1,0
334,651,1,2021-06-07,2,36,217,3237,17.0,883,1,0
335,658,1,2021-11-22,1,8,424,5780,65.0,888,1,0
336,659,1,2021-03-17,1,27,677,7685,200.0,892,1,0
337,662,1,2021-06-04,1,13,527,6585,102.0,897,1,0
338,664,2,2021-08-24,1,1,62,475,1.0,901,1,0
339,669,1,2021-10-13,1,24,648,7487,180.0,904,1,0
340,673,1,2021-03-28,1,8,404,5609,64.0,912,1,0
341,674,1,2021-07-19,9,45,102,1191,1.0,914,1,0
342,676,1,2021-02-16,1,9,445,5933,70.0,917,1,0
343,677,1,2021-03-28,1,1,105,1238,6.0,918,1,0
344,678,1,2021-03-07,1,1,49,247,1.0,920,1,0
345,679,1,2021-09-17,1,11,481,6232,,922,1,0
346,680,1,2021-09-07,1,19,601,7144,139.0,923,1,0
347,681,1,2021-07-01,1,1,78,786,9.0,925,1,0
348,686,1,2021-03-15,1,3,272,4171,26.0,927,1,0
349,686,1,2021-03-07,1,3,272,4171,,929,1,0
350,691,1,2021-09-22,1,15,549,6748,115.0,937,1,0
351,694,1,2021-08-20,3,38,687,7767,,947,1,0
352,698,1,2021-07-06,1,5,339,5133,45.0,950,1,0
353,699,1,2021-08-19,5,41,101,1168,9.0,953,1,0
354,700,1,2021-05-13,4,39,248,3769,20.0,954,1,0
355,701,1,2021-04-19,1,2,229,3428,13.0,955,1,0
356,702,1,2021-09-23,1,3,257,3918,23.0,957,1,0
357,703,2,2021-08-27,1,1,169,2334,4.0,958,1,0
358,703,1,2021-08-28,1,1,169,2334,4.0,959,1,0
359,704,1,2021-03-11,1,1,80,832,9.0,961,1,0
360,709,1,2021-06-16,8,44,477,6204,85.0,970,1,0
361,710,1,2021-07-11,1,10,470,6145,76.0,971,1,0
362,712,1,2021-11-18,1,13,520,6534,103.0,972,1,0
363,713,1,2021-12-11,1,3,266,4085,21.0,975,1,0
364,715,1,2021-01-10,1,1,116,1420,6.0,978,1,0
365,717,1,2021-07-22,1,5,330,5069,42.0,982,1,0
366,717,1,2021-07-24,1,5,330,5069,45.0,984,1,0
367,720,1,2022-01-01,1,1,64,528,4.0,991,1,0
368,722,1,2021-12-30,1,1,69,645,8.0,992,1,0
369,726,1,2021-08-15,1,1,91,1007,5.0,998,1,0
370,729,2,2021-03-23,1,9,434,5854,69.0,1000,1,0
371,731,1,2021-04-30,1,24,647,7479,179.0,1004,1,0
372,734,1,2021-10-24,8,44,155,2067,2.0,1005,1,0
373,735,1,2021-08-02,1,14,534,6636,110.0,1006,1,0
374,736,2,2021-08-13,1,3,267,4100,29.0,1007,1,0
375,738,1,2021-01-24,1,2,221,3294,,1008,1,0
376,740,1,2021-10-05,1,9,445,5939,70.0,1009,1,0
377,744,1,2021-10-19,1,6,356,5258,48.0,1015,1,0
378,746,1,2021-08-04,1,10,458,6048,78.0,1017,1,0
379,751,1,2021-03-21,1,4,302,4680,40.0,1022,1,0
380,751,1,2021-03-23,1,4,302,4680,35.0,1024,1,0
381,752,1,2021-10-31,8,44,164,2252,7.0,1027,1,0
382,753,1,2021-12-15,1,8,415,5694,,1028,1,0
383,756,1,2021-12-16,1,11,482,6239,89.0,1030,1,0
384,757,1,2021-09-16,1,4,307,4774,40.0,1031,1,0
385,758,1,2021-08-09,1,5,325,5031,44.0,1032,1,0
386,763,1,2021-04-21,1,3,265,4061,24.0,1035,1,0
387,767,1,2021-07-02,1,1,74,723,6.0,1041,1,0
388,770,1,2021-10-29,1,1,189,2727,9.0,1044,1,0
389,773,1,2021-06-16,1,21,618,7262,154.0,1048,1,0
390,775,1,2021-07-05,1,13,517,6510,98.0,1051,1,0
391,776,1,2021-08-05,1,8,407,5634,66.0,1052,1,0
392,779,2,2021-09-07,1,6,364,5319,48.0,1055,1,0
393,781,1,2021-05-05,1,1,171,2384,1.0,1058,1,0
394,782,2,2021-10-03,1,5,330,5065,47.0,1059,1,0
395,783,1,2021-10-15,1,11,489,6296,89.0,1061,1,0
396,785,1,2021-09-18,6,42,552,6777,117.0,1063,1,0
397,786,1,2021-08-17,1,5,329,5061,46.0,1064,1,0
398,787,1,2021-06-14,6,42,269,4121,28.0,1065,1,0
399,787,1,2021-04-04,8,44,269,4121,24.0,1066,1,0
400,790,1,2021-06-13,1,1,198,2875,5.0,1068,1,0
401,791,1,2021-02-10,1,1,53,311,10.0,1069,1,0
402,791,1,2021-02-10,9,45,53,311,4.0,1073,1,0
403,795,1,2021-09-10,1,10,461,6072,,1078,1,0
404,796,2,2021-09-19,1,6,369,5352,51.0,1082,1,0
405,799,1,2021-01-13,1,6,374,5388,51.0,1088,1,0
406,799,1,2021-01-13,1,6,374,5388,49.0,1090,1,0
407,800,1,2021-10-08,5,40,392,5519,55.0,1092,1,0
408,801,1,2021-05-27,5,40,437,5875,72.0,1093,1,0
409,801,1,2021-08-07,1,9,437,5875,70.0,1094,1,0
410,803,1,2021-02-14,1,7,391,5511,59.0,1099,1,0
411,805,1,2021-09-15,1,1,58,409,5.0,1102,1,0
412,809,1,2021-12-11,1,15,551,6766,111.0,1107,1,0
413,809,1,2021-12-16,1,15,551,6766,115.0,1109,1,0
414,811,1,2021-04-20,1,2,223,3335,12.0,1112,1,0
415,812,1,2021-05-17,1,5,350,5208,44.0,1114,1,0
416,815,1,2021-10-07,1,15,549,6753,116.0,1115,1,0
417,818,1,2021-11-06,1,22,632,7364,163.0,1119,1,0
418,818,1,2021-11-07,1,22,632,7364,160.0,1122,1,0
419,819,1,2021-05-27,1,16,555,6797,119.0,1125,1,0
420,821,1,2021-02-16,1,4,312,4852,37.0,1129,1,0
421,821,1,2021-02-14,1,4,312,4852,,1130,1,0
422,822,1,2021-03-31,1,32,717,8002,236.0,1132,1,0
423,824,1,2021-12-31,1,24,649,7489,180.0,1134,1,0
424,825,1,2022-03-10,1,13,519,6522,97.0,1135,1,0
425,828,1,2021-12-08,1,3,260,3976,23.0,1139,1,0
426,832,2,2021-03-05,1,10,469,6130,76.0,1142,1,0
427,834,1,2021-01-03,1,27,672,7648,197.0,1143,1,0
428,835,2,2021-10-28,1,9,430,5824,75.0,1146,1,0
429,838,1,2021-03-31,1,18,590,7059,,1147,1,0
430,841,1,2021-10-15,1,1,183,2638,3.0,1154,1,0
431,844,1,2021-10-08,1,8,412,5671,68.0,1161,1,0
432,846,1,2021-06-15,3,38,70,661,6.0,1165,1,0
