CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
45,IPC,302,1,1
46,ITACT,66,1,1
46,ITACT,66D,2,2
47,DPACT,4,1,1
48,NDPS,27,1,1
48,NDPS,20,2,2
48,NDPS,22,3,3
49,IPC,420,1,1
49,IPC,406,2,2
50,IPC,323,1,1
50,IPC,506,2,2
51,IPC,302,1,1
51,IPC,324,2,2
52,IPC,509,1,1
52,IPC,506,2,2
52,DPACT,4,3,3
52,IPC,498A,4,4
53,ITACT,66,1,1
54,IPC,509,1,1
54,IPC,506,2,2
54,DPACT,4,3,3
55,ITACT,66,1,1
55,ITACT,66C,2,2
56,DPACT,3,1,1
56,IPC,498A,2,2
57,IPC,392,1,1
57,IPC,397,2,2
58,IPC,504,1,1
59,IPC,325,1,1
59,IPC,323,2,2
59,IPC,302,3,3
59,IPC,326,4,4
60,ITACT,66C,1,1
60,ITACT,66D,2,2
60,IPC,420,3,3
61,IPC,509,1,1
62,MMDR,4,1,1
62,KEXC,32,2,2
63,IPC,354,1,1
63,IPC,376,2,2
63,IPC,498A,3,3
63,IPC,506,4,4
64,IPC,147,1,1
64,IPC,148,2,2
64,IPC,504,3,3
65,NDPS,27,1,1
65,NDPS,20,2,2
66,IPC,379,1,1
66,IPC,380,2,2
67,IPC,457,1,1
67,IPC,394,2,2
67,IPC,447,3,3
68,NDPS,29,1,1
68,NDPS,27,2,2
69,IPC,504,1,1
69,IPC,324,2,2
70,IPC,427,1,1
70,IPC,394,2,2
71,IPC,420,1,1
72,IPC,506,1,1
73,IPC,323,1,1
73,IPC,506,2,2
74,IPC,279,1,1
74,MVACT,185,2,2
75,IPC,379,1,1
75,IPC,447,2,2
76,IPC,376,1,1
76,IPC,509,2,2
77,IPC,504,1,1
77,IPC,149,2,2
78,IPC,509,1,1
78,DPACT,3,2,2
78,IPC,354,3,3
79,IPC,279,1,1
79,MVACT,184,2,2
80,IPC,307,1,1
80,IPC,363,2,2
81,IPC,420,1,1
81,ITACT,66D,2,2
81,ITACT,66C,3,3
81,ITACT,66,4,4
82,IPC,307,1,1
82,IPC,506,2,2
83,IPC,420,1,1
83,IPC,406,2,2
84,IPC,504,1,1
84,IPC,363,2,2
85,IPC,147,1,1
86,IPC,447,1,1
86,IPC,427,2,2
86,IPC,394,3,3
87,IPC,380,1,1
88,IPC,504,1,1
88,IPC,323,2,2
88,IPC,506,3,3
89,IPC,325,1,1
89,IPC,363,2,2
89,IPC,506,3,3
89,IPC,504,4,4
90,IPC,307,1,1
90,IPC,302,2,2
90,IPC,323,3,3
90,IPC,326,4,4
91,IPC,279,1,1
91,MVACT,185,2,2
92,MVACT,185,1,1
92,IPC,279,2,2
92,IPC,338,3,3
93,NDPS,21,1,1
93,NDPS,20,2,2
94,KPACT,109,1,1
94,IPC,506,2,2
95,IPC,397,1,1
96,ITACT,66,1,1
96,ITACT,66C,2,2
97,IPC,406,1,1
98,IPC,504,1,1
98,KPACT,92,2,2
99,MMDR,21,1,1
99,MMDR,4,2,2
100,IPC,506,1,1
100,IPC,354,2,2
101,IPC,406,1,1
102,IPC,427,1,1
102,IPC,447,2,2
102,IPC,394,3,3
103,IPC,506,1,1
104,IPC,406,1,1
104,IPC,420,2,2
105,NDPS,27,1,1
105,NDPS,22,2,2
105,NDPS,29,3,3
106,MVACT,184,1,1
106,MVACT,185,2,2
106,IPC,304A,3,3
107,IPC,147,1,1
107,IPC,148,2,2
107,IPC,143,3,3
108,IPC,447,1,1
108,IPC,380,2,2
109,KPACT,96,1,1
109,IPC,147,2,2
109,IPC,143,3,3
110,IPC,447,1,1
110,IPC,392,2,2
111,IPC,457,1,1
111,IPC,392,2,2
111,IPC,397,3,3
112,IPC,307,1,1
113,KPACT,92,1,1
113,IPC,504,2,2
114,IPC,420,1,1
114,IPC,406,2,2
115,IPC,498A,1,1
116,MVACT,185,1,1
116,IPC,279,2,2
117,NDPS,21,1,1
118,IPC,406,1,1
119,ITACT,66,1,1
119,ITACT,66D,2,2
120,IPC,380,1,1
120,IPC,392,2,2
121,KPACT,109,1,1
122,DPACT,4,1,1
122,IPC,498A,2,2
122,IPC,376,3,3
123,IPC,406,1,1
124,IPC,506,1,1
124,IPC,307,2,2
124,IPC,324,3,3
124,IPC,325,4,4
125,IPC,394,1,1
125,IPC,380,2,2
125,IPC,457,3,3
126,ITACT,66,1,1
126,ITACT,66D,2,2
127,IPC,420,1,1
127,ITACT,66,2,2
128,IPC,420,1,1
128,IPC,406,2,2
129,MVACT,185,1,1
129,MVACT,184,2,2
129,IPC,304A,3,3
130,IPC,406,1,1
130,IPC,420,2,2
131,DPACT,4,1,1
131,IPC,354,2,2
131,IPC,506,3,3
132,IPC,420,1,1
132,ITACT,66D,2,2
133,DPACT,4,1,1
134,IPC,457,1,1
134,IPC,379,2,2
134,IPC,392,3,3
135,ARMS,25,1,1
135,MMDR,4,2,2
135,MMDR,21,3,3
136,IPC,326,1,1
136,IPC,363,2,2
137,IPC,143,1,1
138,IPC,394,1,1
138,IPC,392,2,2
138,IPC,457,3,3
139,IPC,302,1,1
139,IPC,506,2,2
139,IPC,325,3,3
140,IPC,307,1,1
141,IPC,420,1,1
141,IPC,406,2,2
142,IPC,420,1,1
142,ITACT,66C,2,2
142,ITACT,66,3,3
142,ITACT,66D,4,4
143,DPACT,3,1,1
143,IPC,354,2,2
143,IPC,498A,3,3
144,ITACT,66D,1,1
145,IPC,323,1,1
145,IPC,504,2,2
146,IPC,363,1,1
146,IPC,326,2,2
146,IPC,324,3,3
147,DPACT,4,1,1
147,IPC,506,2,2
148,IPC,504,1,1
149,IPC,363,1,1
149,IPC,323,2,2
149,IPC,504,3,3
149,IPC,324,4,4
150,IPC,506,1,1
151,IPC,392,1,1
152,NDPS,22,1,1
152,NDPS,20,2,2
152,NDPS,21,3,3
152,NDPS,29,4,4
153,IPC,143,1,1
153,KPACT,92,2,2
154,ITACT,66D,1,1
154,IPC,420,2,2
154,ITACT,66,3,3
154,ITACT,66C,4,4
155,NDPS,22,1,1
155,NDPS,20,2,2
155,NDPS,27,3,3
156,IPC,427,1,1
156,IPC,379,2,2
157,IPC,380,1,1
157,IPC,447,2,2
158,NDPS,22,1,1
158,NDPS,20,2,2
158,NDPS,21,3,3
159,IPC,363,1,1
159,POCSO,12,2,2
159,POCSO,4,3,3
159,POCSO,8,4,4
160,NDPS,22,1,1
160,NDPS,29,2,2
161,IPC,363,1,1
161,IPC,302,2,2
162,ITACT,66,1,1
162,IPC,420,2,2
162,ITACT,66D,3,3
163,IPC,394,1,1
163,IPC,392,2,2
164,IPC,392,1,1
164,IPC,379,2,2
164,IPC,394,3,3
164,IPC,397,4,4
165,IPC,506,1,1
165,IPC,326,2,2
165,IPC,324,3,3
165,IPC,307,4,4
166,IPC,323,1,1
166,IPC,302,2,2
166,IPC,307,3,3
167,IPC,397,1,1
167,IPC,457,2,2
167,IPC,380,3,3
168,MVACT,184,1,1
168,IPC,338,2,2
168,IPC,279,3,3
168,MVACT,185,4,4
169,IPC,363,1,1
170,DPACT,4,1,1
170,IPC,498A,2,2
170,IPC,376,3,3
170,IPC,509,4,4
171,IPC,307,1,1
171,IPC,363,2,2
172,IPC,148,1,1
173,ITACT,66D,1,1
174,IPC,302,1,1
175,IPC,392,1,1
175,IPC,397,2,2
175,IPC,379,3,3
175,IPC,457,4,4
176,IPC,420,1,1
176,IPC,406,2,2
177,IPC,457,1,1
178,IPC,354,1,1
178,IPC,376,2,2
179,IPC,427,1,1
179,IPC,392,2,2
179,IPC,457,3,3
179,IPC,397,4,4
180,IPC,379,1,1
180,IPC,380,2,2
181,IPC,304A,1,1
181,MVACT,184,2,2
182,IPC,354,1,1
182,DPACT,4,2,2
183,IPC,326,1,1
183,IPC,307,2,2
184,IPC,380,1,1
184,IPC,427,2,2
184,IPC,447,3,3
185,ITACT,66C,1,1
185,ITACT,66,2,2
185,IPC,420,3,3
186,IPC,392,1,1
186,IPC,380,2,2
186,IPC,447,3,3
186,IPC,427,4,4
187,IPC,392,1,1
188,IPC,363,1,1
189,ITACT,66C,1,1
189,IPC,420,2,2
189,ITACT,66,3,3
189,ITACT,66D,4,4
190,IPC,509,1,1
190,DPACT,4,2,2
191,IPC,376,1,1
191,DPACT,3,2,2
192,MVACT,184,1,1
192,MVACT,185,2,2
192,IPC,279,3,3
192,IPC,304A,4,4
193,IPC,323,1,1
193,SCST,3(1)(s),2,2
193,SCST,3(1)(r),3,3
194,IPC,279,1,1
194,MVACT,185,2,2
195,MVACT,184,1,1
195,IPC,279,2,2
195,MVACT,185,3,3
195,IPC,304A,4,4
196,ARMS,25,1,1
196,MMDR,4,2,2
197,NDPS,29,1,1
198,NDPS,21,1,1
198,NDPS,22,2,2
199,IPC,324,1,1
199,IPC,504,2,2
199,IPC,363,3,3
200,MVACT,185,1,1
200,IPC,279,2,2
200,IPC,338,3,3
201,IPC,506,1,1
201,IPC,324,2,2
202,IPC,304A,1,1
202,IPC,338,2,2
202,MVACT,184,3,3
202,MVACT,185,4,4
203,ITACT,66,1,1
203,IPC,420,2,2
203,ITACT,66D,3,3
203,ITACT,66C,4,4
204,IPC,457,1,1
204,IPC,427,2,2
204,IPC,394,3,3
204,IPC,379,4,4
205,IPC,326,1,1
205,IPC,506,2,2
206,IPC,379,1,1
206,IPC,447,2,2
206,IPC,457,3,3
206,IPC,394,4,4
207,IPC,326,1,1
207,IPC,363,2,2
207,IPC,324,3,3
208,KPACT,109,1,1
208,IPC,447,2,2
208,IPC,506,3,3
209,IPC,323,1,1
209,IPC,324,2,2
209,IPC,307,3,3
210,KEXC,34,1,1
210,ARMS,25,2,2
211,IPC,380,1,1
211,IPC,379,2,2
212,IPC,427,1,1
212,IPC,380,2,2
212,IPC,379,3,3
213,MMDR,4,1,1
213,MMDR,21,2,2
213,KEXC,32,3,3
213,ARMS,25,4,4
214,IPC,420,1,1
214,IPC,406,2,2
215,IPC,420,1,1
215,ITACT,66C,2,2
216,IPC,379,1,1
216,IPC,397,2,2
217,IPC,379,1,1
217,IPC,392,2,2
218,IPC,420,1,1
218,IPC,406,2,2
219,MVACT,185,1,1
220,IPC,427,1,1
221,ITACT,66,1,1
221,IPC,420,2,2
221,ITACT,66D,3,3
222,IPC,380,1,1
222,IPC,397,2,2
223,IPC,506,1,1
223,IPC,325,2,2
223,IPC,307,3,3
223,IPC,504,4,4
224,IPC,420,1,1
224,ITACT,66,2,2
225,DPACT,4,1,1
225,IPC,354,2,2
226,IPC,376,1,1
226,IPC,498A,2,2
227,IPC,363,1,1
228,IPC,457,1,1
228,IPC,380,2,2
229,IPC,504,1,1
229,IPC,149,2,2
229,IPC,147,3,3
230,MMDR,21,1,1
230,MMDR,4,2,2
231,IPC,379,1,1
231,IPC,380,2,2
232,IPC,304A,1,1
232,IPC,279,2,2
232,MVACT,184,3,3
233,IPC,420,1,1
233,IPC,406,2,2
234,IPC,143,1,1
234,IPC,147,2,2
235,IPC,302,1,1
235,IPC,326,2,2
235,IPC,363,3,3
236,IPC,406,1,1
236,IPC,420,2,2
237,IPC,420,1,1
237,ITACT,66,2,2
237,ITACT,66C,3,3
238,IPC,447,1,1
238,IPC,457,2,2
238,IPC,380,3,3
238,IPC,394,4,4
239,IPC,380,1,1
239,IPC,392,2,2
239,IPC,457,3,3
240,IPC,279,1,1
240,MVACT,185,2,2
241,KPACT,92,1,1
241,IPC,147,2,2
241,KPACT,96,3,3
242,IPC,323,1,1
243,IPC,323,1,1
243,SCST,3(1)(r),2,2
243,IPC,504,3,3
244,IPC,354,1,1
244,DPACT,4,2,2
245,IPC,279,1,1
245,IPC,304A,2,2
245,MVACT,185,3,3
246,ITACT,66,1,1
246,ITACT,66D,2,2
246,ITACT,66C,3,3
247,IPC,304A,1,1
247,IPC,338,2,2
247,MVACT,184,3,3
248,IPC,504,1,1
248,SCST,3(1)(r),2,2
248,IPC,323,3,3
249,DPACT,4,1,1
249,IPC,376,2,2
249,IPC,506,3,3
249,IPC,509,4,4
250,IPC,302,1,1
251,IPC,420,1,1
252,ITACT,66D,1,1
252,ITACT,66,2,2
252,ITACT,66C,3,3
253,IPC,498A,1,1
254,NDPS,20,1,1
255,IPC,420,1,1
255,IPC,406,2,2
256,DPACT,4,1,1
257,MVACT,185,1,1
257,MVACT,184,2,2
258,IPC,338,1,1
258,IPC,279,2,2
258,MVACT,184,3,3
259,IPC,406,1,1
259,IPC,420,2,2
260,IPC,279,1,1
260,IPC,338,2,2
261,NDPS,20,1,1
261,NDPS,29,2,2
261,NDPS,21,3,3
262,IPC,447,1,1
262,IPC,380,2,2
263,IPC,504,1,1
263,KPACT,92,2,2
264,DPACT,4,1,1
264,DPACT,3,2,2
264,IPC,509,3,3
265,IPC,354,1,1
266,IPC,338,1,1
266,IPC,304A,2,2
267,IPC,326,1,1
267,IPC,363,2,2
267,IPC,506,3,3
267,IPC,504,4,4
268,IPC,457,1,1
268,IPC,427,2,2
269,POCSO,12,1,1
269,IPC,363,2,2
270,IPC,457,1,1
271,IPC,323,1,1
271,IPC,363,2,2
271,IPC,506,3,3
272,IPC,406,1,1
272,IPC,420,2,2
273,IPC,406,1,1
273,IPC,420,2,2
274,IPC,420,1,1
274,IPC,406,2,2
275,IPC,397,1,1
275,IPC,427,2,2
276,IPC,506,1,1
276,IPC,302,2,2
277,SCST,3(1)(s),1,1
277,IPC,323,2,2
278,IPC,325,1,1
278,IPC,323,2,2
278,IPC,302,3,3
278,IPC,326,4,4
279,IPC,323,1,1
279,IPC,325,2,2
279,IPC,302,3,3
280,MVACT,185,1,1
280,IPC,279,2,2
280,MVACT,184,3,3
280,IPC,304A,4,4
281,IPC,392,1,1
281,IPC,457,2,2
281,IPC,447,3,3
281,IPC,394,4,4
282,IPC,307,1,1
282,IPC,302,2,2
283,IPC,304A,1,1
283,MVACT,185,2,2
283,MVACT,184,3,3
284,ITACT,66D,1,1
285,POCSO,8,1,1
285,POCSO,12,2,2
286,IPC,427,1,1
286,IPC,392,2,2
287,MVACT,184,1,1
288,IPC,338,1,1
288,MVACT,185,2,2
288,IPC,279,3,3
289,ITACT,66D,1,1
290,NDPS,20,1,1
291,IPC,394,1,1
291,IPC,447,2,2
291,IPC,457,3,3
292,DPACT,4,1,1
292,IPC,376,2,2
292,IPC,506,3,3
293,IPC,380,1,1
293,IPC,394,2,2
294,IPC,420,1,1
294,IPC,406,2,2
295,IPC,406,1,1
295,IPC,420,2,2
296,IPC,427,1,1
296,IPC,394,2,2
297,IPC,397,1,1
297,IPC,447,2,2
298,MVACT,185,1,1
299,IPC,279,1,1
299,IPC,338,2,2
300,IPC,376,1,1
300,IPC,354,2,2
301,IPC,504,1,1
301,IPC,147,2,2
301,IPC,149,3,3
301,KPACT,96,4,4
302,IPC,397,1,1
302,IPC,379,2,2
303,MVACT,185,1,1
303,IPC,279,2,2
304,POCSO,12,1,1
304,POCSO,8,2,2
304,POCSO,4,3,3
304,POCSO,6,4,4
305,MVACT,184,1,1
305,MVACT,185,2,2
306,NDPS,29,1,1
307,IPC,427,1,1
308,IPC,354,1,1
308,DPACT,4,2,2
309,IPC,380,1,1
309,IPC,427,2,2
309,IPC,379,3,3
310,IPC,279,1,1
311,IPC,326,1,1
311,IPC,323,2,2
312,IPC,447,1,1
313,IPC,498A,1,1
313,IPC,376,2,2
314,IPC,506,1,1
314,IPC,376,2,2
315,IPC,420,1,1
315,ITACT,66C,2,2
316,ITACT,66D,1,1
316,IPC,420,2,2
317,DPACT,4,1,1
317,IPC,498A,2,2
318,ITACT,66,1,1
318,ITACT,66D,2,2
319,IPC,420,1,1
320,IPC,302,1,1
320,IPC,323,2,2
320,IPC,307,3,3
320,IPC,325,4,4
321,IPC,420,1,1
321,ITACT,66D,2,2
321,ITACT,66C,3,3
321,ITACT,66,4,4
322,IPC,304A,1,1
322,MVACT,184,2,2
323,ITACT,66D,1,1
324,IPC,427,1,1
325,IPC,147,1,1
325,IPC,149,2,2
325,KPACT,96,3,3
326,IPC,302,1,1
327,IPC,307,1,1
327,IPC,504,2,2
327,IPC,363,3,3
327,IPC,323,4,4
328,IPC,504,1,1
328,KPACT,96,2,2
328,IPC,147,3,3
329,IPC,447,1,1
329,IPC,392,2,2
330,IPC,397,1,1
331,IPC,143,1,1
331,KPACT,96,2,2
331,KPACT,92,3,3
332,IPC,326,1,1
333,DPACT,4,1,1
333,IPC,509,2,2
333,IPC,354,3,3
333,IPC,498A,4,4
334,IPC,380,1,1
334,IPC,457,2,2
335,ITACT,66C,1,1
335,ITACT,66,2,2
336,ITACT,66D,1,1
336,IPC,420,2,2
336,ITACT,66,3,3
336,ITACT,66C,4,4
337,IPC,279,1,1
337,IPC,304A,2,2
337,IPC,338,3,3
337,MVACT,185,4,4
338,KPACT,96,1,1
338,IPC,147,2,2
339,MMDR,4,1,1
339,KEXC,34,2,2
339,KEXC,32,3,3
339,ARMS,25,4,4
340,IPC,457,1,1
340,IPC,397,2,2
341,IPC,427,1,1
341,IPC,380,2,2
341,IPC,447,3,3
342,IPC,324,1,1
342,IPC,302,2,2
342,IPC,363,3,3
342,IPC,307,4,4
343,IPC,447,1,1
343,IPC,380,2,2
344,ITACT,66C,1,1
345,IPC,363,1,1
345,IPC,323,2,2
346,IPC,420,1,1
346,ITACT,66,2,2
347,IPC,279,1,1
347,IPC,304A,2,2
347,MVACT,185,3,3
347,IPC,338,4,4
348,IPC,302,1,1
348,IPC,326,2,2
349,IPC,457,1,1
349,IPC,447,2,2
350,POCSO,6,1,1
350,POCSO,12,2,2
350,IPC,363,3,3
351,IPC,379,1,1
351,IPC,397,2,2
352,DPACT,3,1,1
352,IPC,509,2,2
352,IPC,506,3,3
353,IPC,506,1,1
353,IPC,363,2,2
353,IPC,307,3,3
353,IPC,325,4,4
354,IPC,363,1,1
354,IPC,307,2,2
355,IPC,302,1,1
355,IPC,504,2,2
356,NDPS,20,1,1
357,IPC,392,1,1
358,NDPS,22,1,1
359,NDPS,22,1,1
360,IPC,406,1,1
360,IPC,420,2,2
361,IPC,304A,1,1
362,IPC,326,1,1
363,IPC,304A,1,1
363,IPC,338,2,2
363,MVACT,185,3,3
364,POCSO,6,1,1
364,IPC,363,2,2
364,POCSO,8,3,3
365,IPC,376,1,1
365,DPACT,3,2,2
366,POCSO,4,1,1
367,IPC,394,1,1
367,IPC,379,2,2
367,IPC,427,3,3
368,IPC,447,1,1
368,IPC,427,2,2
369,IPC,325,1,1
369,IPC,326,2,2
370,IPC,324,1,1
371,IPC,392,1,1
371,IPC,427,2,2
371,IPC,379,3,3
372,MVACT,184,1,1
373,IPC,394,1,1
373,IPC,392,2,2
374,IPC,380,1,1
374,IPC,457,2,2
375,POCSO,12,1,1
375,POCSO,4,2,2
376,IPC,302,1,1
377,MVACT,185,1,1
377,IPC,304A,2,2
378,IPC,394,1,1
378,IPC,447,2,2
378,IPC,427,3,3
378,IPC,392,4,4
379,MVACT,185,1,1
379,IPC,279,2,2
380,IPC,447,1,1
380,IPC,380,2,2
381,IPC,380,1,1
381,IPC,394,2,2
381,IPC,397,3,3
381,IPC,457,4,4
382,IPC,420,1,1
383,IPC,302,1,1
383,IPC,506,2,2
384,ITACT,66D,1,1
384,ITACT,66C,2,2
385,IPC,307,1,1
386,DPACT,4,1,1
387,IPC,143,1,1
388,IPC,376,1,1
388,IPC,506,2,2
388,IPC,354,3,3
388,DPACT,3,4,4
389,MVACT,185,1,1
389,IPC,279,2,2
390,IPC,325,1,1
391,IPC,380,1,1
391,IPC,447,2,2
392,IPC,447,1,1
392,KPACT,109,2,2
393,DPACT,3,1,1
393,DPACT,4,2,2
394,IPC,363,1,1
395,IPC,447,1,1
396,IPC,447,1,1
397,IPC,325,1,1
397,IPC,506,2,2
397,IPC,363,3,3
398,IPC,326,1,1
398,IPC,363,2,2
399,IPC,324,1,1
399,IPC,363,2,2
400,IPC,148,1,1
400,IPC,149,2,2
401,IPC,447,1,1
401,IPC,506,2,2
402,IPC,420,1,1
403,IPC,338,1,1
404,IPC,394,1,1
404,IPC,397,2,2
404,IPC,427,3,3
405,NDPS,20,1,1
405,NDPS,21,2,2
405,NDPS,27,3,3
405,NDPS,29,4,4
406,IPC,338,1,1
407,IPC,354,1,1
408,IPC,338,1,1
408,IPC,279,2,2
408,MVACT,184,3,3
408,MVACT,185,4,4
409,DPACT,3,1,1
409,IPC,498A,2,2
409,IPC,509,3,3
409,DPACT,4,4,4
410,IPC,338,1,1
410,MVACT,184,2,2
411,IPC,504,1,1
411,IPC,149,2,2
411,KPACT,96,3,3
411,IPC,147,4,4
412,KPACT,96,1,1
412,IPC,143,2,2
412,IPC,504,3,3
412,IPC,149,4,4
413,IPC,302,1,1
413,IPC,506,2,2
413,IPC,307,3,3
414,IPC,376,1,1
414,IPC,498A,2,2
415,IPC,326,1,1
415,IPC,307,2,2
415,IPC,504,3,3
416,IPC,406,1,1
416,IPC,420,2,2
417,IPC,307,1,1
418,IPC,392,1,1
418,IPC,447,2,2
419,IPC,354,1,1
419,IPC,498A,2,2
419,DPACT,4,3,3
420,NDPS,21,1,1
421,IPC,363,1,1
421,IPC,324,2,2
422,IPC,457,1,1
422,IPC,394,2,2
422,IPC,392,3,3
423,IPC,420,1,1
423,ITACT,66C,2,2
423,ITACT,66D,3,3
424,ITACT,66C,1,1
425,IPC,506,1,1
425,IPC,498A,2,2
425,DPACT,3,3,3
426,IPC,420,1,1
427,IPC,338,1,1
427,IPC,279,2,2
427,MVACT,184,3,3
427,IPC,304A,4,4
428,IPC,326,1,1
429,IPC,149,1,1
429,IPC,504,2,2
429,IPC,143,3,3
429,KPACT,96,4,4
430,IPC,392,1,1
430,IPC,380,2,2
431,IPC,380,1,1
431,IPC,392,2,2
431,IPC,394,3,3
432,IPC,304A,1,1
432,IPC,279,2,2
432,IPC,338,3,3
432,MVACT,185,4,4
433,IPC,394,1,1
433,IPC,457,2,2
433,IPC,380,3,3
434,IPC,279,1,1
434,IPC,338,2,2
434,MVACT,184,3,3
434,IPC,304A,4,4
435,ITACT,66,1,1
435,IPC,420,2,2
435,ITACT,66C,3,3
436,NDPS,20,1,1
436,NDPS,21,2,2
437,IPC,447,1,1
437,IPC,380,2,2
437,IPC,427,3,3
438,IPC,326,1,1
439,ITACT,66C,1,1
439,ITACT,66,2,2
440,NDPS,22,1,1
440,NDPS,27,2,2
440,NDPS,21,3,3
440,NDPS,20,4,4
441,IPC,376,1,1
441,IPC,509,2,2
441,IPC,354,3,3
442,SCST,3(1)(s),1,1
442,IPC,323,2,2
443,IPC,427,1,1
443,IPC,397,2,2
444,POCSO,12,1,1
445,IPC,304A,1,1
445,MVACT,184,2,2
445,IPC,338,3,3
446,ITACT,66C,1,1
447,IPC,392,1,1
447,IPC,447,2,2
448,ITACT,66,1,1
449,IPC,149,1,1
449,KPACT,96,2,2
450,IPC,392,1,1
451,IPC,324,1,1
452,IPC,379,1,1
452,IPC,392,2,2
453,IPC,420,1,1
454,IPC,420,1,1
454,IPC,406,2,2
455,IPC,506,1,1
455,IPC,509,2,2
455,IPC,498A,3,3
456,IPC,509,1,1
456,DPACT,4,2,2
456,IPC,376,3,3
456,IPC,498A,4,4
457,IPC,406,1,1
457,IPC,420,2,2
458,IPC,338,1,1
458,IPC,279,2,2
459,IPC,504,1,1
459,IPC,323,2,2
460,IPC,447,1,1
460,IPC,397,2,2
460,IPC,427,3,3
461,IPC,324,1,1
462,ITACT,66C,1,1
462,ITACT,66D,2,2
462,ITACT,66,3,3
462,IPC,420,4,4
463,ITACT,66D,1,1
463,ITACT,66,2,2
464,IPC,457,1,1
464,IPC,380,2,2
465,MVACT,184,1,1
465,IPC,279,2,2
465,IPC,338,3,3
466,IPC,420,1,1
467,IPC,304A,1,1
467,IPC,338,2,2
468,IPC,406,1,1
468,IPC,420,2,2
469,IPC,363,1,1
469,IPC,307,2,2
470,POCSO,6,1,1
471,ITACT,66,1,1
471,IPC,420,2,2
471,ITACT,66D,3,3
472,ITACT,66D,1,1
472,ITACT,66,2,2
472,ITACT,66C,3,3
472,IPC,420,4,4
473,IPC,427,1,1
474,IPC,380,1,1
474,IPC,392,2,2
474,IPC,457,3,3
475,IPC,447,1,1
476,IPC,447,1,1
477,IPC,457,1,1
477,IPC,447,2,2
478,IPC,506,1,1
478,IPC,323,2,2
478,IPC,504,3,3
478,IPC,325,4,4
479,IPC,427,1,1
479,IPC,392,2,2
479,IPC,457,3,3
479,IPC,394,4,4
480,IPC,323,1,1
481,IPC,406,1,1
482,NDPS,29,1,1
482,NDPS,27,2,2
482,NDPS,21,3,3
482,NDPS,20,4,4
483,IPC,323,1,1
483,IPC,325,2,2
483,IPC,363,3,3
484,NDPS,21,1,1
484,NDPS,20,2,2
484,NDPS,27,3,3
485,MVACT,185,1,1
486,IPC,380,1,1
487,IPC,324,1,1
487,IPC,504,2,2
487,IPC,302,3,3
488,IPC,148,1,1
488,KPACT,92,2,2
489,NDPS,27,1,1
489,NDPS,29,2,2
490,IPC,427,1,1
490,IPC,392,2,2
491,IPC,376,1,1
491,IPC,506,2,2
491,IPC,354,3,3
492,IPC,376,1,1
492,IPC,354,2,2
492,IPC,509,3,3
492,IPC,498A,4,4
493,DPACT,4,1,1
494,IPC,394,1,1
494,IPC,397,2,2
494,IPC,379,3,3
495,IPC,506,1,1
496,IPC,447,1,1
497,NDPS,29,1,1
497,NDPS,27,2,2
497,NDPS,20,3,3
498,IPC,406,1,1
498,IPC,420,2,2
499,ITACT,66C,1,1
499,ITACT,66,2,2
500,IPC,397,1,1
500,IPC,394,2,2
501,NDPS,27,1,1
501,NDPS,20,2,2
502,IPC,379,1,1
502,IPC,427,2,2
502,IPC,380,3,3
503,IPC,506,1,1
503,IPC,324,2,2
