CSID,CaseMasterID,csdate,cstype,PolicePersonID
113,176,2021-11-17 19:37:28.945591,A,3970
114,179,2022-01-07 08:44:54.852714,A,182
115,180,2021-11-11 21:56:27.202500,C,6438
116,182,2021-12-23 19:52:18.143257,A,8039
117,183,2022-01-13 17:05:00.116284,A,2867
118,185,2021-06-02 20:02:59.475368,C,5144
119,186,2021-09-14 22:42:27.029976,C,6399
120,187,2021-08-31 09:33:33.926311,A,2045
121,188,2021-10-17 15:48:38.509399,A,6370
122,190,2021-09-03 09:45:44.019669,A,6810
123,191,2021-03-11 08:58:04.445324,A,1075
124,192,2022-02-09 19:13:29.903702,A,5151
125,195,2021-12-29 11:00:32.221132,A,695
126,197,2021-05-20 14:47:50.024883,A,7469
127,198,2021-08-20 14:54:43.319905,A,6358
128,201,2022-02-25 17:12:49.921026,A,6155
129,202,2021-08-28 14:23:34.205686,B,7547
130,203,2021-07-30 14:24:33.195677,C,8054
131,204,2022-01-10 07:12:08.972206,A,3459
132,206,2021-08-07 22:32:06.858680,C,2071
133,208,2022-01-29 13:37:57.007584,A,7048
134,209,2021-12-06 15:08:40.907078,A,2738
135,210,2021-04-16 04:16:20.079290,A,4810
136,212,2021-03-22 05:49:47.595168,A,93
137,213,2021-10-14 10:59:01.432207,A,3209
138,214,2022-03-20 02:10:43.375011,A,5370
139,217,2022-01-02 04:16:10.079947,C,6074
140,218,2021-10-21 05:58:30.785077,A,6531
141,219,2021-05-15 16:21:14.914566,C,28
142,220,2022-03-07 13:21:24.791092,C,2915
143,221,2021-08-12 04:57:10.679953,C,1133
144,222,2021-05-09 07:08:42.615684,A,7013
145,223,2021-08-05 19:28:23.675371,B,5327
146,224,2021-12-29 11:42:26.077316,A,3384
147,225,2021-03-26 09:24:55.187040,A,3311
148,226,2021-12-19 09:02:44.418378,C,637
149,227,2022-02-16 17:45:47.719371,A,7475
150,228,2021-04-13 03:15:15.189748,A,2687
151,230,2021-08-15 15:04:30.577434,A,3760
152,231,2022-01-27 18:45:44.578301,A,7270
153,235,2022-02-28 19:02:59.531494,C,7917
154,236,2021-09-02 08:13:07.741255,A,1499
155,237,2021-10-08 08:49:52.774157,C,4362
156,238,2022-01-12 18:08:58.300067,A,5338
157,240,2021-09-10 10:05:24.748632,C,6570
158,241,2021-11-05 13:21:28.381738,B,6110
159,242,2021-04-15 22:46:20.001065,C,7280
160,243,2021-05-21 19:27:10.256873,C,4546
161,244,2022-02-13 02:19:35.570866,A,6477
162,246,2022-01-05 08:15:29.623857,C,4822
163,247,2021-05-14 07:13:44.264759,A,7628
164,248,2022-03-20 07:31:56.402876,A,7446
165,249,2021-12-04 00:23:11.442952,A,6222
166,250,2022-01-11 00:53:21.988097,A,5511
167,252,2021-09-18 02:49:31.666022,C,4083
168,254,2021-10-15 10:45:12.679800,A,748
169,255,2022-02-19 12:23:20.144553,C,6269
170,258,2021-08-30 13:57:52.654940,A,4282
171,259,2022-02-18 20:09:16.187624,A,5194
172,261,2021-07-22 05:01:56.454142,A,2719
173,262,2021-07-13 06:48:53.019612,C,5047
174,263,2021-05-09 18:29:47.491886,A,7029
175,264,2021-11-20 17:08:40.477215,A,6446
176,265,2021-08-14 22:50:56.973479,B,2826
177,266,2021-12-18 10:24:13.880104,A,5775
178,267,2022-02-27 17:11:38.277605,C,5218
179,268,2021-09-22 07:06:47.226811,C,5972
180,270,2021-06-25 05:56:40.384454,A,7806
181,272,2021-06-11 18:25:48.480804,C,4315
182,273,2021-08-11 08:36:18.610766,A,5633
183,274,2022-01-09 19:40:40.464929,A,5123
184,275,2021-08-11 17:39:14.933667,A,7401
185,276,2022-03-19 11:54:59.116389,A,4198
186,277,2022-01-08 05:47:25.446959,B,5249
187,278,2021-11-22 14:29:56.449943,A,7740
188,280,2021-04-05 13:27:04.037404,A,7818
189,281,2021-11-10 05:10:25.674860,A,1858
190,282,2021-12-11 10:37:02.189024,A,3896
191,283,2021-12-14 19:08:13.589220,A,447
192,284,2021-05-28 17:09:58.199961,B,8109
193,285,2021-12-08 10:12:51.905850,A,5354
194,286,2022-01-21 11:31:44.988464,A,5921
195,288,2021-12-10 13:03:46.355824,A,6898
196,289,2021-05-19 05:57:32.176352,B,3835
197,291,2021-06-27 18:34:54.692526,A,4080
198,292,2021-12-11 16:48:07.274117,A,7240
199,293,2022-02-19 12:16:59.702536,A,4213
200,294,2021-04-03 23:16:09.153865,A,7039
201,295,2022-01-31 03:30:39.032970,A,6407
202,296,2021-12-01 16:22:55.080581,A,4772
203,298,2021-11-18 19:59:00.396933,A,6669
204,300,2022-03-27 12:19:54.340340,A,3910
205,301,2022-01-05 01:21:48.606463,A,6088
206,302,2022-06-14 07:40:25.040057,A,321
207,303,2021-07-24 23:20:06.750872,A,6118
208,305,2022-02-11 16:11:16.213900,C,2935
209,306,2022-01-07 18:44:02.220604,B,2444
210,310,2021-06-30 19:29:41.866924,A,6319
211,311,2021-09-14 21:12:22.051835,A,5519
212,312,2021-05-01 08:32:07.628312,B,4892
213,313,2021-02-15 17:34:26.405596,B,7120
214,314,2022-02-05 09:14:59.825117,A,625
215,315,2021-08-08 06:40:58.340820,A,5266
216,317,2022-03-17 15:47:09.927996,A,7492
217,319,2021-05-07 01:46:05.715903,A,4189
218,320,2021-07-10 01:10:19.784467,B,6240
219,321,2021-05-20 03:12:34.674138,A,8075
220,322,2021-06-22 15:00:28.085059,A,2352
221,323,2022-02-09 03:50:42.897476,C,2247
222,324,2022-01-12 23:07:25.544430,C,5087
223,325,2021-10-09 06:06:11.262838,B,878
224,326,2022-04-07 20:41:51.245539,A,7351
225,328,2021-12-13 10:37:27.314667,C,4111
226,329,2021-10-23 09:20:09.648912,A,3890
227,330,2021-08-26 14:47:57.248947,A,4316
228,332,2021-06-13 10:41:54.085758,A,7330
229,333,2021-08-03 06:15:45.864138,A,151
230,335,2021-07-27 15:49:36.470913,B,7303
231,338,2021-07-08 15:58:23.898061,A,7452
232,340,2021-11-18 12:40:58.742036,A,5024
233,341,2021-05-06 00:23:18.287076,A,5649
234,343,2021-08-26 14:04:40.830603,A,327
235,347,2021-10-15 01:13:25.832309,A,7445
236,348,2021-11-18 15:45:52.670889,A,120
237,350,2021-06-01 09:28:18.076420,A,5384
238,351,2022-01-08 09:37:32.178181,C,6048
239,353,2021-05-08 02:37:11.585920,A,448
240,354,2021-09-01 16:53:14.975134,A,7007
241,355,2022-01-24 18:16:51.687466,C,2229
242,356,2021-12-22 15:13:29.600037,A,5997
243,357,2022-03-26 00:01:29.981716,C,140
244,358,2021-07-29 21:26:08.694447,A,3933
245,359,2021-04-19 00:25:24.204893,A,690
246,361,2021-12-30 13:04:12.410783,A,3209
247,362,2021-11-09 19:13:39.437848,A,6084
248,363,2021-11-04 12:06:31.270718,A,6640
249,366,2021-10-22 22:52:07.931842,C,5257
250,368,2021-04-10 17:57:33.578051,C,7018
251,369,2021-10-14 17:08:27.982198,B,5067
252,372,2021-10-31 21:30:42.348379,A,789
253,374,2021-10-17 11:49:37.518388,A,677
254,377,2021-07-19 16:14:25.726170,B,7885
255,378,2021-05-15 08:43:50.934275,B,7022
256,380,2021-10-22 05:06:49.117451,A,6101
257,382,2022-01-07 01:52:54.618599,A,2731
258,383,2022-06-20 12:07:44.682719,A,6819
259,384,2021-09-10 14:05:14.599727,A,5694
260,385,2021-06-04 15:29:21.665741,A,5437
261,386,2021-10-25 06:55:26.081577,A,2385
262,387,2021-05-31 23:39:13.933558,A,7897
263,389,2021-07-09 08:22:28.743214,A,2924
264,390,2021-10-22 02:45:06.867046,A,7472
265,395,2021-07-26 11:19:50.244890,A,5362
266,398,2021-11-26 14:03:19.648470,A,8080
267,400,2021-07-22 00:43:06.893732,A,4987
268,403,2021-06-04 09:13:20.067651,C,1148
269,404,2021-12-05 22:27:50.302423,C,7662
270,409,2022-05-13 03:48:45.776482,A,5110
271,410,2021-02-11 15:07:51.432183,A,7188
272,411,2022-01-02 11:47:33.191305,C,99
273,416,2022-02-14 17:25:04.774400,A,5357
274,417,2022-01-02 12:51:52.652352,A,6079
275,418,2021-06-19 21:12:02.033611,B,8060
276,419,2021-06-23 16:27:13.733704,B,5100
277,420,2022-04-12 15:06:49.381169,A,4675
278,421,2021-11-22 03:13:21.340216,A,6341
279,422,2022-04-10 16:44:27.075645,B,7973
280,424,2021-10-14 07:33:40.523834,C,2734
281,425,2022-01-13 16:07:12.315561,A,7079
282,426,2021-10-24 10:54:23.247707,A,7534
283,427,2021-04-13 04:18:09.601397,A,1216
284,428,2021-10-25 19:12:46.766520,A,7011
285,429,2021-05-25 10:25:16.140884,C,5568
286,431,2022-01-07 07:30:20.693671,C,7397
287,432,2021-04-13 08:43:48.083796,A,2248
288,433,2021-05-06 17:41:52.112809,A,4181
289,434,2021-05-29 23:23:45.188091,B,6062
290,435,2021-08-12 05:36:05.741325,C,4195
291,436,2022-02-04 19:30:37.793703,A,7414
292,437,2021-12-09 08:40:47.580944,A,5719
293,438,2021-09-28 14:04:48.005598,A,7826
294,440,2021-07-09 14:39:05.030258,B,4822
295,441,2021-08-06 04:59:08.941850,A,6652
296,442,2021-09-08 05:24:54.022212,A,4626
297,444,2021-10-27 19:46:52.005393,A,4463
298,445,2021-07-03 11:01:45.910426,A,5733
299,448,2022-04-25 10:01:13.411754,C,6790
300,450,2021-07-24 00:41:46.566182,A,7654
301,451,2021-04-22 22:38:54.831589,A,1769
302,452,2021-08-02 06:09:50.875570,B,1704
303,454,2022-01-18 08:04:09.922707,A,7739
304,456,2021-09-14 14:45:29.988150,B,8003
305,457,2021-07-07 10:22:23.287832,A,8034
306,458,2021-08-16 11:56:38.795978,A,5301
307,460,2021-05-13 08:44:32.540552,A,6310
308,461,2022-06-19 12:36:05.408294,A,5970
309,462,2021-05-20 05:12:40.585582,C,3617
310,463,2022-01-08 04:01:54.691360,C,2156
311,464,2022-04-11 18:51:28.978191,A,1008
312,465,2021-07-12 22:14:20.770994,A,6281
313,466,2021-04-02 22:20:09.561455,A,910
314,467,2021-07-26 20:38:21.163464,A,5083
315,468,2022-03-10 02:10:34.586419,A,6396
316,469,2021-11-15 01:05:24.041964,A,4522
317,471,2021-05-06 06:27:37.090263,C,7565
318,472,2021-07-07 20:52:19.540251,A,6140
319,473,2022-01-13 03:57:22.831750,C,5103
320,474,2021-06-03 07:00:48.029852,C,6179
321,475,2021-10-24 13:21:57.109066,C,8070
322,476,2022-03-27 17:59:57.913084,A,7922
323,477,2021-12-17 23:51:24.138326,A,2634
324,478,2021-04-05 01:12:20.594592,B,5470
325,479,2021-06-29 11:43:42.236917,A,7062
326,480,2021-06-17 07:10:23.403550,A,7417
327,481,2021-07-29 02:36:01.010461,A,2827
328,482,2021-03-21 23:21:22.469179,A,3900
329,483,2021-07-21 19:11:30.043060,B,7725
330,485,2021-02-20 02:08:59.299386,A,7827
331,486,2021-10-18 15:30:03.097496,A,5642
332,487,2021-09-12 06:00:35.947568,A,7681
333,488,2022-02-26 00:07:46.999932,A,3378
334,489,2021-07-14 01:05:18.721726,A,7602
335,490,2021-07-08 23:37:55.251694,C,7532
336,493,2021-11-24 16:39:36.953903,A,7762
337,494,2021-04-27 10:16:13.247227,A,6771
338,495,2022-02-06 02:11:08.662599,A,816
339,496,2022-03-09 20:24:14.017369,B,3345
340,497,2022-01-13 15:25:56.693073,B,1196
341,498,2021-06-15 13:43:39.594750,C,5004
342,499,2021-08-30 03:28:58.531502,C,5708
343,500,2021-11-08 07:53:42.678944,A,5734
344,501,2021-11-11 09:06:56.475349,A,1758
345,502,2021-05-05 04:06:27.609851,A,7856
346,503,2021-05-25 00:15:16.291587,A,2284
347,504,2021-02-25 12:43:16.975936,A,4136
348,505,2022-01-16 10:39:58.094564,A,4651
349,506,2021-09-11 10:14:37.085185,A,3920
350,507,2021-11-26 16:08:49.726382,C,7029
351,508,2021-11-26 22:20:05.213705,A,7194
352,510,2021-09-28 04:56:56.097907,B,6359
353,511,2022-02-19 21:08:08.629461,B,7795
354,512,2021-04-16 12:16:46.942350,C,6434
355,513,2021-04-18 12:47:45.292055,C,5833
356,514,2021-08-19 12:49:46.774672,A,6798
357,516,2021-06-28 06:20:13.373924,A,943
358,518,2021-05-09 12:17:05.984939,A,1550
359,519,2021-06-10 09:43:09.407834,C,7229
360,521,2021-05-06 10:46:43.324820,B,6214
361,522,2021-07-23 04:27:27.851356,B,515
362,523,2021-11-19 23:12:01.576728,A,5946
363,524,2022-03-25 16:01:49.889130,A,3085
364,525,2021-08-30 03:12:48.643282,A,7624
365,526,2021-10-17 19:37:51.537480,A,7357
366,527,2021-05-20 23:09:15.466636,A,2225
367,528,2022-02-14 18:29:48.991701,A,4360
368,533,2022-02-19 06:07:46.874864,A,7296
369,535,2021-12-22 19:59:17.767068,A,2056
370,536,2022-01-21 08:30:11.527198,A,1920
371,537,2022-01-15 04:56:35.006186,A,6264
372,538,2021-09-27 04:31:36.551449,A,3974
373,540,2021-08-26 07:42:52.002311,B,5011
374,541,2021-05-30 22:22:15.979851,A,3953
375,543,2021-08-02 10:45:52.661983,A,151
376,545,2022-01-01 02:06:47.384952,B,6999
377,546,2021-07-19 14:49:32.580533,A,4613
378,547,2022-02-19 19:42:00.896578,A,6701
379,548,2022-06-26 18:01:26.751013,A,5501
380,549,2021-05-06 00:53:57.206988,A,8100
381,551,2021-04-10 06:45:49.743326,A,6623
382,553,2022-01-05 15:16:17.535130,C,2691
383,554,2021-08-30 02:59:16.058431,A,5904
384,555,2021-07-20 06:17:53.088642,C,7613
385,556,2021-05-21 09:04:12.492025,C,5325
386,557,2021-07-06 20:45:49.817925,A,4848
387,558,2021-05-17 01:24:40.679730,A,5894
388,559,2022-01-26 00:26:01.189117,A,4163
389,560,2022-02-16 10:51:20.153373,A,6604
390,561,2021-09-06 07:17:30.471627,A,1261
391,563,2021-07-25 07:17:56.939746,A,468
392,564,2021-04-04 10:19:31.927716,C,2895
393,565,2022-02-14 16:47:09.222329,B,6751
394,567,2022-03-30 22:31:40.246616,A,6102
395,568,2021-08-03 23:15:26.736201,C,7303
396,569,2021-09-25 11:39:37.448336,A,3888
397,570,2021-10-01 11:00:55.927983,A,7880
398,571,2021-05-18 17:06:50.466400,B,6283
399,572,2021-09-09 20:29:09.891572,A,7620
400,573,2021-10-14 14:28:40.700777,C,1385
401,574,2021-05-10 19:42:23.225707,B,2650
402,575,2022-01-07 04:43:50.705625,A,1030
403,577,2021-06-22 19:35:20.991239,A,6626
404,580,2022-02-01 02:19:41.208554,A,3739
405,581,2021-07-06 23:48:06.886055,A,5778
406,582,2021-04-14 11:11:18.392973,A,1189
407,585,2021-07-26 16:10:38.694345,A,3525
408,588,2021-05-28 14:28:07.548262,A,3077
409,589,2021-04-27 11:48:00.593753,A,5394
410,590,2022-01-01 23:51:31.118493,A,5838
411,591,2021-06-21 20:02:12.346090,A,3388
412,592,2021-04-18 13:53:27.362274,C,185
413,594,2021-07-29 23:57:50.009751,A,7540
414,597,2021-12-16 14:27:35.420387,C,2892
415,598,2021-12-25 21:07:05.732742,A,5283
416,601,2022-03-14 18:47:13.448941,A,6411
417,605,2021-09-05 15:12:38.564110,A,2228
418,606,2021-03-16 17:45:21.160540,A,5472
419,608,2021-06-05 08:35:06.788218,B,5452
420,613,2021-04-18 17:47:41.092649,A,5242
421,614,2021-06-01 03:38:27.063249,A,1493
422,615,2021-04-04 11:58:02.975041,A,3603
423,617,2021-09-20 14:24:30.474642,C,2701
424,619,2021-05-04 04:26:46.175032,A,7625
425,620,2021-07-24 08:30:43.746201,A,5160
426,623,2021-07-29 12:58:29.737306,B,7873
427,624,2021-06-11 13:00:58.630593,A,3422
428,626,2021-11-29 08:58:35.166946,A,6286
429,627,2022-03-26 18:39:38.490903,A,7091
430,628,2021-12-08 22:00:07.429815,A,1011
431,629,2021-06-12 21:35:51.939620,A,5581
432,633,2021-07-15 15:38:31.524424,C,7470
433,635,2021-09-03 23:05:35.608909,A,7787
434,636,2021-07-06 20:27:57.704439,C,6677
435,637,2021-06-01 09:01:17.558013,B,7239
436,638,2021-11-06 23:39:24.661840,C,4070
437,639,2022-08-04 08:40:21.045542,A,7535
438,640,2021-04-02 08:21:58.113473,A,3740
439,641,2021-10-30 15:13:52.303803,A,5849
440,644,2021-09-06 15:57:18.429694,C,6362
441,645,2021-05-13 23:20:27.879133,A,1155
442,646,2021-09-04 20:32:35.385276,A,859
443,651,2021-10-30 13:24:54.195644,C,3237
444,652,2021-12-30 12:01:56.887128,A,6307
445,653,2022-03-10 18:16:02.960174,C,1652
446,655,2021-07-04 05:09:57.605298,C,1902
447,656,2022-01-22 09:59:45.997870,A,7606
448,657,2022-01-09 12:07:08.295886,C,5766
449,658,2022-04-13 13:20:53.914908,A,5780
450,659,2021-04-21 01:54:16.313138,A,7685
451,660,2021-09-29 10:32:42.532167,C,5733
452,662,2021-09-18 18:51:59.077059,A,6585
453,664,2021-09-26 07:29:45.009982,A,475
454,665,2022-01-02 11:36:35.196005,B,1705
455,666,2021-10-03 11:51:10.727947,A,3395
456,667,2022-02-19 19:06:31.916501,A,485
457,668,2021-11-01 06:53:49.815069,A,2844
458,669,2021-12-20 04:44:45.048374,A,7487
459,671,2021-10-11 19:14:51.572852,B,6990
460,673,2021-05-12 05:29:35.292217,A,5609
461,674,2021-09-04 23:30:41.833263,A,1191
462,676,2021-06-09 05:01:39.360063,A,5933
463,677,2021-10-05 03:00:13.606132,A,1238
464,678,2021-05-13 05:17:49.418465,A,247
465,679,2021-11-21 23:42:33.526645,B,6232
466,680,2021-09-26 22:13:28.398449,A,7144
467,681,2021-08-08 22:41:34.316852,A,786
468,682,2022-05-19 15:59:28.559726,A,7034
469,683,2021-11-16 07:39:33.760603,A,2380
470,685,2022-02-08 13:13:43.447837,C,1053
471,686,2021-05-07 14:16:18.328368,A,4171
472,691,2021-10-17 22:17:30.054862,A,6748
473,692,2021-03-29 19:19:51.994866,A,2547
474,694,2021-10-19 01:46:07.066594,A,7767
475,695,2022-01-31 23:46:58.914214,A,6868
476,696,2021-04-16 21:15:40.809641,A,139
477,697,2021-08-30 23:33:04.945319,A,1968
478,698,2021-08-03 18:11:35.520625,A,5133
479,699,2021-11-14 09:49:14.506965,A,1168
480,700,2021-06-29 00:19:03.002146,A,3769
481,701,2021-09-30 15:17:27.770988,A,3428
482,702,2021-12-18 03:33:42.098884,A,3918
483,703,2021-12-11 10:56:02.257959,C,2334
484,704,2021-07-18 14:53:39.173034,A,832
485,705,2021-05-18 02:18:30.351514,C,5641
486,707,2022-01-06 08:55:49.377656,A,2878
487,708,2022-01-15 22:41:55.724201,C,1744
488,709,2021-08-11 12:12:32.313837,A,6204
489,710,2021-10-02 06:37:23.137472,A,6145
490,712,2021-12-31 07:31:12.981037,A,6534
491,713,2022-02-16 11:58:51.580676,A,4085
492,715,2021-02-09 07:10:37.541443,B,1420
493,717,2021-12-24 14:26:51.534132,A,5069
494,718,2022-01-20 04:37:07.531889,A,4411
495,719,2021-07-19 03:10:59.078577,A,5265
496,720,2022-02-08 11:23:00.686697,A,528
497,722,2022-02-12 03:05:36.482792,A,645
498,725,2021-11-08 08:01:40.911573,B,5623
499,726,2022-02-25 11:26:30.841451,A,1007
500,727,2021-09-21 08:30:51.417460,C,7317
501,728,2021-04-17 04:43:54.075612,C,2235
502,729,2021-06-25 09:01:06.823685,A,5854
503,730,2021-11-02 00:17:53.163522,C,4290
504,731,2021-10-15 15:42:32.053730,A,7479
505,732,2022-07-12 23:49:04.845785,A,3477
506,733,2021-04-11 22:09:43.212244,B,5453
507,734,2021-12-20 01:00:24.908463,A,2067
508,735,2021-09-29 18:57:12.558394,A,6636
509,736,2021-10-13 20:40:48.538911,A,4100
510,737,2021-05-17 11:03:56.512321,B,4085
511,738,2021-04-13 23:30:42.371340,A,3294
512,740,2022-03-05 14:03:09.082935,A,5939
513,742,2021-06-27 05:01:56.040192,C,5385
514,744,2021-11-11 01:07:24.073140,A,5258
515,746,2021-11-10 14:43:28.669001,A,6048
516,747,2021-12-20 16:00:30.437420,B,5879
517,748,2021-07-01 10:44:00.232989,C,7121
518,749,2021-06-10 12:41:35.281910,C,4185
519,750,2021-10-06 18:59:22.157147,A,2038
520,751,2021-07-12 15:56:29.769536,A,4680
521,753,2022-02-24 20:48:22.445685,A,5694
522,756,2022-03-02 10:29:18.566097,A,6239
523,757,2021-10-26 05:18:36.549797,A,4774
524,758,2021-08-31 12:24:46.127850,A,5031
525,760,2021-08-09 08:37:57.599882,A,7770
526,761,2022-03-27 09:41:27.813909,A,6683
527,763,2021-07-19 13:10:19.890156,A,4061
528,764,2021-05-23 17:07:45.100633,C,7382
529,767,2021-08-18 19:01:22.192650,A,723
530,770,2022-01-02 01:38:40.699774,A,2727
531,773,2021-11-01 08:54:42.919602,C,7262
532,774,2021-08-18 14:42:51.945154,A,1863
533,775,2021-09-11 14:58:12.797201,A,6510
534,776,2021-10-29 02:19:50.114500,A,5634
535,777,2021-09-14 21:19:13.664298,A,7588
536,778,2021-05-17 20:28:30.444164,C,2141
537,780,2022-01-02 11:22:59.217839,C,738
538,781,2021-07-11 13:08:25.506078,A,2384
539,782,2022-03-07 11:39:03.628737,A,5065
540,783,2021-12-11 01:16:49.573681,A,6296
541,784,2021-12-06 09:01:51.021968,B,1827
542,785,2021-10-19 01:10:16.902042,A,6777
543,786,2021-09-29 00:22:31.335434,A,5061
544,787,2021-08-28 22:46:01.458910,A,4121
545,788,2021-02-25 12:53:50.513202,B,2429
546,790,2021-10-18 05:15:06.400454,A,2875
547,791,2021-03-21 13:51:26.442079,A,311
548,793,2021-12-27 10:12:18.939956,A,4845
549,794,2021-10-14 13:40:25.308751,A,6201
550,795,2021-11-26 11:14:26.143261,A,6072
551,796,2022-03-16 15:06:48.651896,A,5352
552,797,2021-04-30 09:36:23.855856,A,4803
553,799,2021-02-26 10:40:59.046276,A,5388
554,800,2021-12-05 10:11:21.298279,A,5519
555,801,2021-09-29 00:55:58.012128,A,5875
556,803,2021-05-07 17:31:09.289043,A,5511
557,804,2022-02-12 05:30:08.452714,A,6584
558,805,2021-10-26 08:56:11.738317,C,409
559,809,2022-02-19 01:14:50.603703,A,6766
