CaseMasterID,OccuranceFromDate,OccuranceToDate,latitude,longitude
69,2021-01-31 23:39:36.626488,2021-02-01 02:05:50.434434,12.708411,77.122177
70,2021-11-25 04:25:21.174516,,12.179064,76.614007
71,2021-10-06 10:04:23.105762,,,
72,2021-07-29 02:38:44.169129,,12.885383,77.559437
73,2021-04-05 01:36:38.443604,,12.924591,77.752391
74,2021-11-07 08:26:04.887888,,15.221677,75.159388
75,2021-08-29 03:31:15.045685,2021-08-29 07:51:47.048720,12.187459,76.610494
76,2021-07-08 10:51:35.126487,2021-07-08 11:20:28.292016,,
77,2021-01-18 21:02:44.547257,2021-01-18 22:58:36.982737,12.704005,77.346277
78,2021-06-21 09:06:50.082101,,,
79,2021-11-17 08:28:05.426989,2021-11-17 08:36:37.675660,12.636743,77.217556
80,2021-10-09 02:18:16.552695,,12.917409,77.537439
81,2021-03-07 12:19:23.713258,2021-03-07 12:30:45.369583,12.122519,76.542327
82,2021-07-25 00:15:33.938930,,13.06433,77.446058
83,2020-12-30 17:47:19.935524,2020-12-30 19:55:08.086254,,
84,2021-06-30 07:04:29.369967,,13.046239,77.561364
85,2021-04-09 04:09:29.270563,,13.09614,77.634341
86,2021-08-02 00:09:45.916899,2021-08-02 05:50:14.005721,12.600647,76.864791
87,2021-05-13 05:12:50.818687,2021-05-13 08:43:47.109331,13.141015,77.583874
88,2021-10-10 19:43:46.314987,2021-10-10 20:00:37.583959,17.261078,76.79262
89,2021-08-24 07:33:10.337158,2021-08-24 08:40:01.544050,13.038576,76.158858
90,2021-12-10 12:48:53.782848,2021-12-10 13:37:55.322324,12.968769,77.585252
91,2021-02-17 05:42:30.740059,2021-02-17 05:48:47.007639,15.524818,75.643868
92,2021-10-07 07:13:17.372336,2021-10-07 07:27:35.404981,12.979305,74.802268
93,2021-10-12 03:58:57.005291,,,
94,2021-01-20 20:04:11.114444,2021-01-20 21:26:59.884312,16.162089,75.727869
95,2021-03-23 03:44:39.069582,2021-03-23 07:20:46.223113,12.981755,77.770773
96,2021-04-09 15:33:39.794282,2021-04-09 15:35:49.209911,,
97,2021-03-11 05:03:38.310894,2021-03-11 08:34:20.891881,12.911418,77.427462
98,2021-02-06 12:55:29.264449,2021-02-06 13:46:31.204811,12.375044,76.580856
99,2021-06-10 16:16:36.486899,2021-06-10 16:48:37.676863,12.952528,77.732485
100,2021-10-24 11:21:21.965424,,13.016937,77.546243
101,2021-05-07 13:02:34.413221,2021-05-07 14:20:09.810489,12.235417,76.562243
102,2021-04-16 00:31:17.248318,2021-04-16 01:46:57.095645,,
103,2021-02-03 17:56:51.648479,2021-02-03 19:00:59.473220,14.424283,75.889944
104,2021-04-19 12:02:08.674856,2021-04-19 15:26:05.450492,12.963774,77.58066
105,2021-10-05 08:45:27.988021,2021-10-05 10:15:54.882903,12.848453,77.492493
106,2021-03-22 09:27:29.281454,2021-03-22 09:40:07.618351,15.052076,77.036573
107,2021-06-07 15:35:53.344782,2021-06-07 15:47:52.942303,12.98859,77.522812
108,2021-05-12 01:04:17.083377,,,
109,2021-12-11 16:38:04.354281,2021-12-11 16:45:03.386194,,
110,2021-05-31 00:57:05.676870,2021-05-31 01:00:54.157040,13.036934,76.135927
111,2021-07-21 18:11:06.581811,2021-07-21 19:22:34.027152,,
112,2021-04-30 21:21:41.364060,2021-04-30 22:29:44.901886,14.858474,74.127865
113,2021-07-10 10:46:12.022173,,15.418292,75.083826
114,2021-05-10 05:02:55.385266,2021-05-10 06:39:33.462446,12.159259,76.513604
115,2021-10-01 10:33:35.241823,2021-10-01 10:41:40.434753,15.285061,76.06277
116,2021-11-02 07:56:59.401924,,12.954564,75.137031
117,2021-04-19 18:26:49.898705,2021-04-19 19:04:56.542766,14.146403,76.535053
118,2021-04-16 12:09:05.417320,2021-04-16 14:09:05.417320,,
119,2021-04-14 12:25:44.966663,2021-04-14 13:53:37.589928,12.809594,77.630924
120,2021-08-03 07:08:29.476867,2021-08-03 09:08:29.476867,,
121,2021-11-16 11:05:20.877724,2021-11-16 12:20:11.933712,15.374568,75.060141
122,2021-04-24 13:53:17.075076,2021-04-24 15:05:02.933136,12.798818,75.348163
123,2021-01-30 11:58:22.129119,2021-01-30 16:23:17.664389,17.050749,76.895664
124,2021-06-27 18:28:58.769866,2021-06-27 18:37:58.566659,15.316899,74.899657
125,2021-05-17 14:28:55.001843,2021-05-17 16:28:55.001843,,
126,2021-12-17 13:21:59.460933,2021-12-17 14:16:11.307904,,
127,2021-04-11 12:07:07.989296,2021-04-11 15:15:18.486525,,
128,2021-06-07 11:59:15.170782,2021-06-07 12:40:06.517046,,
129,2021-02-28 08:18:17.599636,2021-02-28 10:07:13.427121,,
130,2021-11-17 01:15:57.816593,2021-11-17 04:42:10.673549,12.934637,77.563752
131,2021-04-21 09:04:54.816306,2021-04-21 12:14:56.719678,16.837812,75.769468
132,2021-08-09 08:05:43.395517,,,
133,2021-01-23 05:32:39.320319,,13.040323,77.58964
134,2021-03-06 00:16:15.033504,,12.161909,76.59779
135,2021-04-04 14:49:41.318319,,,
136,2021-04-27 01:26:10.473950,2021-04-27 01:45:39.904169,15.430672,76.221839
137,2021-02-25 11:24:18.797837,2021-02-25 13:19:36.528203,14.882557,75.37858
138,2021-12-05 22:35:25.968970,2021-12-05 23:45:34.847842,13.265601,74.816694
139,2021-12-17 07:12:21.815846,,,
140,2021-03-11 11:24:21.003069,2021-03-11 13:13:25.065790,15.057353,77.102301
141,2021-08-31 09:20:42.348643,2021-08-31 11:37:30.759691,15.207129,75.078621
142,2021-12-18 08:47:22.567762,2021-12-18 09:06:26.406737,13.265293,77.076414
143,2021-11-17 17:48:39.006697,,15.9214,74.565245
144,2021-03-14 10:23:10.375458,2021-03-14 11:11:13.643300,12.437093,76.713884
145,2021-07-23 10:11:42.773093,,15.860193,74.389341
146,2021-03-31 00:53:41.652591,2021-03-31 02:13:55.956447,15.256598,76.524548
147,2021-05-10 11:26:21.142546,2021-05-10 11:28:54.837725,15.232632,76.109781
148,2021-01-29 07:31:39.244778,2021-01-29 09:10:10.475248,12.959336,77.675525
149,2021-05-21 21:44:11.433033,2021-05-22 00:19:06.312027,15.021284,76.850066
150,2021-01-01 18:57:52.600492,2021-01-01 19:41:10.186169,14.776347,75.473369
151,2021-07-31 01:34:25.623517,2021-07-31 03:34:38.881490,13.217481,78.089322
152,2021-08-16 16:32:46.239374,2021-08-16 16:49:09.164776,12.796012,77.688169
153,2021-09-06 11:06:01.522046,,,
154,2021-03-28 08:36:57.588059,,13.554161,77.712701
155,2021-08-26 11:39:34.915903,,,
156,2021-07-22 03:59:19.991461,2021-07-22 08:09:38.256330,,
157,2021-01-14 00:34:41.146879,2021-01-14 00:51:33.871710,12.898364,74.87987
158,2021-09-16 16:03:32.259731,2021-09-16 18:03:32.259731,13.03174,77.45348
159,2021-05-03 11:38:53.383762,2021-05-03 12:04:16.227077,13.374371,77.0838
160,2021-11-14 11:20:55.742647,2021-11-14 13:19:13.337535,12.982381,77.605825
161,2021-12-11 04:53:48.564458,2021-12-11 05:23:08.567023,12.379947,76.619058
162,2021-11-13 10:48:39.027195,,12.956677,77.684215
163,2021-05-09 03:49:06.531087,2021-05-09 05:39:11.425094,15.804891,74.53136
164,2021-10-09 03:23:30.557880,2021-10-09 06:27:55.899217,17.335734,76.825196
165,2021-05-10 13:47:48.147561,2021-05-10 15:47:48.147561,13.24998,78.053125
166,2021-11-16 16:50:17.147083,2021-11-16 18:07:00.886295,13.377525,75.627165
167,2021-08-30 04:36:14.495778,2021-08-30 04:41:56.392856,12.841514,74.84543
168,2021-03-27 06:44:09.509445,2021-03-27 07:49:28.772500,16.085308,75.774099
169,2021-10-25 01:55:48.226275,2021-10-25 02:02:33.662672,,
170,2021-09-14 09:45:48.975469,,13.055475,77.572644
171,2021-08-25 10:10:23.731254,2021-08-25 10:19:06.185538,,
172,2021-07-06 14:47:32.971407,2021-07-06 16:05:19.568099,12.251062,76.587185
173,2021-11-15 10:58:25.347827,2021-11-15 14:23:30.393359,,
174,2021-08-23 15:33:08.456368,2021-08-23 16:46:00.734290,,
175,2021-01-11 01:36:03.517357,2021-01-11 02:59:45.039201,12.641305,77.265534
176,2021-07-19 03:19:00.127322,2021-07-19 05:54:36.131344,12.993942,74.954622
177,2021-10-21 01:55:29.766470,,,
178,2021-05-14 10:57:23.156549,2021-05-14 11:59:41.105714,,
179,2021-09-09 01:52:52.671238,2021-09-09 05:52:20.382289,13.077594,77.380757
180,2021-09-11 23:31:23.862735,2021-09-12 00:16:17.930803,16.724898,75.723516
181,2021-09-29 16:35:42.066201,2021-09-29 16:51:50.533948,12.955246,77.636978
182,2021-10-12 03:36:11.288271,2021-10-12 04:29:11.958838,12.471497,75.664607
183,2021-10-25 10:38:25.872439,2021-10-25 12:22:44.100971,13.016634,77.528571
184,2021-04-23 22:22:21.347129,2021-04-23 23:22:05.502425,15.122539,76.93079
185,2021-03-31 09:08:40.754605,2021-03-31 10:43:25.899841,15.883485,74.551999
186,2021-08-07 23:06:18.033411,,17.009731,75.861035
187,2021-06-20 00:38:11.654855,2021-06-20 01:08:48.476225,13.163952,77.490376
188,2021-05-22 13:39:21.007386,2021-05-22 15:39:21.007386,16.836417,75.756336
189,2021-02-03 10:16:12.526723,2021-02-03 12:29:15.773076,16.20124,75.712949
190,2021-07-01 16:24:35.924441,2021-07-01 21:35:43.065230,13.304941,74.737929
191,2021-01-10 17:35:48.324500,,12.893345,77.364728
192,2021-12-27 09:41:10.795608,2021-12-27 15:13:25.468916,15.882997,74.524712
193,2021-09-02 03:26:48.228968,2021-09-02 03:59:06.712880,13.235454,77.673818
194,2021-10-31 18:38:13.560757,2021-10-31 19:03:29.800218,,
195,2021-10-13 06:42:07.345663,,13.14215,77.749206
196,2021-02-04 13:34:52.184741,,,
197,2021-03-04 06:43:39.246738,2021-03-04 08:57:56.355172,15.444409,75.723719
198,2021-06-06 13:58:25.112690,2021-06-06 14:20:33.181553,16.837226,75.509039
199,2021-06-20 11:42:16.716436,2021-06-20 13:42:16.716436,,
200,2021-06-22 19:33:48.679147,2021-06-23 00:07:02.734503,14.560827,75.98144
201,2021-11-14 18:13:51.183103,2021-11-14 19:30:58.357707,,
202,2021-05-02 19:22:19.639406,2021-05-02 20:42:35.474001,15.336007,76.159978
203,2021-03-14 17:21:15.357118,2021-03-14 17:59:38.461148,11.976622,76.957723
204,2021-10-16 16:06:17.762513,2021-10-16 16:50:48.768295,12.187249,76.705792
205,2021-04-12 16:16:18.261502,,12.316758,76.691926
206,2021-06-30 04:01:49.794938,2021-06-30 05:06:01.613701,12.906403,77.608402
207,2021-07-16 14:52:17.662373,,12.895782,74.962895
208,2021-09-21 11:49:36.404332,2021-09-21 17:40:55.892866,13.079879,78.123474
209,2021-07-20 16:21:39.189279,2021-07-20 18:21:39.189279,13.054134,77.539065
210,2021-03-04 14:23:11.754990,2021-03-04 16:44:58.749325,,
211,2021-03-02 01:38:32.633119,2021-03-02 04:12:39.180671,15.282774,76.240208
212,2021-01-19 01:01:14.117759,,13.009525,77.6861
213,2021-02-28 09:25:21.056141,,12.207779,76.447663
214,2021-12-11 19:12:13.077551,2021-12-11 19:39:12.293555,13.321552,76.991113
215,2021-10-15 15:25:36.749909,,14.389685,75.849736
216,2021-08-12 04:56:16.664018,2021-08-12 05:27:54.186282,12.431832,76.790824
217,2021-08-04 21:01:13.172181,2021-08-05 01:48:58.791476,12.974926,76.210265
218,2021-06-27 06:53:17.449686,2021-06-27 08:53:17.449686,12.817844,77.618387
219,2021-02-28 05:00:32.973154,,13.052174,77.596902
220,2021-11-15 04:32:42.897067,2021-11-15 06:25:11.122764,12.824177,77.476288
221,2021-06-13 08:07:19.770950,2021-06-13 08:29:09.039977,12.987207,77.410876
222,2021-03-04 03:37:28.746126,2021-03-04 04:30:55.620124,13.020945,78.128025
223,2021-05-12 00:07:23.112487,,13.317137,77.133595
224,2021-11-19 07:44:55.209972,2021-11-19 09:44:55.209972,12.255377,76.563053
225,2021-02-16 14:25:35.579712,2021-02-16 15:03:24.756010,12.204833,76.70354
226,2021-11-22 10:36:09.646382,2021-11-22 13:08:30.111923,12.933392,77.555694
227,2021-12-04 11:07:20.484651,2021-12-04 13:07:20.484651,14.87343,75.5923
228,2021-03-12 10:47:16.544053,2021-03-12 12:09:10.415307,13.074853,77.595867
229,2021-12-14 12:32:34.807242,2021-12-14 12:40:56.723156,12.249207,76.581586
230,2021-07-06 06:17:06.078591,2021-07-06 06:58:13.733845,,
231,2021-11-19 03:17:43.497693,2021-11-19 03:31:53.757424,17.961981,77.474641
232,2021-06-11 05:22:16.314097,2021-06-11 07:22:16.314097,,
233,2021-03-12 14:26:32.255367,2021-03-12 14:42:53.831395,,
234,2021-01-26 07:01:16.305928,,12.256898,76.609768
235,2021-09-13 22:32:41.987760,2021-09-13 23:30:11.297677,15.37114,74.974736
236,2021-07-22 09:38:56.923966,2021-07-22 10:01:34.378596,12.875976,77.619315
237,2021-08-18 13:43:23.041356,2021-08-18 14:14:44.156092,12.79393,74.852797
238,2021-10-18 01:35:12.453038,2021-10-18 01:55:52.412492,,
239,2021-09-05 13:54:06.381313,2021-09-05 15:54:06.381313,12.894936,77.572228
240,2021-08-07 14:23:11.945921,2021-08-07 14:26:32.176447,13.184896,77.684829
241,2021-09-25 09:53:34.186451,2021-09-25 15:11:26.235807,13.058319,76.200581
242,2021-01-27 10:14:21.734168,,17.869753,77.512134
243,2021-04-04 08:57:38.726032,2021-04-04 10:57:38.726032,15.27958,75.140025
244,2021-12-28 12:34:13.851577,2021-12-28 13:37:55.381222,13.041266,77.535525
245,2021-12-09 01:20:29.460491,2021-12-09 03:11:53.433853,15.386319,75.577442
246,2021-10-05 15:54:06.305602,,15.561196,75.306552
247,2021-04-18 19:31:43.165134,2021-04-18 22:26:43.381034,16.634113,76.955698
248,2021-12-14 07:22:14.715105,2021-12-14 07:25:08.301644,,
249,2021-10-22 07:38:19.306721,2021-10-22 08:52:58.613523,14.288353,75.93097
250,2021-09-30 21:44:00.670110,2021-10-01 01:26:55.051664,13.800622,75.389946
251,2021-02-24 04:02:10.741396,2021-02-24 05:20:30.025414,12.980499,77.552115
252,2021-07-28 05:16:19.555747,2021-07-28 07:16:19.555747,,
253,2021-01-16 11:52:18.252807,2021-01-16 13:17:17.398805,,
254,2021-09-26 13:55:54.636060,2021-09-26 15:55:54.636060,13.013623,77.627306
255,2021-09-19 16:39:38.177688,,,
256,2021-01-21 14:06:24.460131,,15.132593,76.882776
257,2021-12-31 05:24:21.926543,2021-12-31 05:43:29.982519,16.113429,77.431253
258,2021-06-15 13:38:53.826841,2021-06-15 15:21:22.547603,12.840254,74.706478
259,2021-11-30 09:52:58.137190,2021-11-30 11:52:58.137190,15.903514,74.489899
260,2021-04-13 10:00:49.135541,,13.469727,77.675581
261,2021-03-20 03:02:08.384360,2021-03-20 04:04:36.757934,13.013496,77.590132
262,2021-04-15 00:03:18.436256,,15.794013,74.512135
263,2021-03-03 16:01:55.636207,2021-03-03 16:43:36.591083,13.07041,78.148093
264,2021-08-16 10:51:39.339016,2021-08-16 13:02:15.439422,16.83378,75.621967
265,2021-04-22 08:32:49.006525,2021-04-22 09:46:56.687581,12.964054,77.704652
266,2021-10-16 10:28:26.577810,2021-10-16 12:28:26.577810,15.167322,77.042746
267,2021-11-10 07:47:25.520664,2021-11-10 09:47:25.520664,,
268,2021-07-11 23:54:34.667240,2021-07-12 04:09:05.544437,,
269,2021-03-16 14:14:23.875897,2021-03-16 14:47:58.127573,,
270,2021-04-06 01:05:08.896430,2021-04-06 06:29:40.304488,,
271,2021-09-03 01:09:19.764259,2021-09-03 03:12:09.103229,13.165854,78.146115
272,2021-05-11 07:03:08.824331,2021-05-11 09:03:08.824331,,
273,2021-06-14 09:17:01.424496,2021-06-14 11:11:35.433402,15.191612,76.815072
274,2021-07-14 10:32:58.172168,,,
275,2021-06-22 01:25:48.234482,,15.390832,75.561443
276,2021-12-26 06:39:54.491265,2021-12-26 08:39:54.491265,12.937297,74.649969
277,2021-11-25 14:24:21.188816,,13.384511,77.121585
278,2021-10-05 20:09:46.035287,2021-10-05 21:15:17.173159,13.708348,77.88118
279,2021-02-12 18:55:25.779651,2021-02-12 19:35:22.954247,15.994446,74.483365
280,2021-01-15 09:23:00.762782,2021-01-15 09:44:27.783291,12.663441,77.347593
281,2021-08-12 02:59:42.620681,2021-08-12 06:45:25.344820,13.018683,77.491052
282,2021-09-09 09:11:31.693654,,13.033856,74.745633
283,2021-10-27 12:49:51.546524,,13.029558,77.624
284,2021-01-05 13:42:58.519580,2021-01-05 20:57:03.339260,16.916246,76.991304
285,2021-09-12 11:48:52.743614,2021-09-12 11:51:27.473073,13.210726,77.102574
286,2021-11-18 03:40:42.598067,2021-11-18 04:49:57.365890,17.212094,76.809031
287,2021-08-08 13:09:09.888006,2021-08-08 13:19:15.581670,15.371354,76.416762
288,2021-10-18 17:48:41.300284,2021-10-18 18:16:29.534520,14.40171,76.439689
289,2021-02-11 07:08:36.783198,2021-02-11 09:08:36.783198,12.748873,74.919065
290,2021-11-04 08:53:59.120568,2021-11-04 09:03:54.450339,15.924059,74.36327
291,2021-01-06 02:34:32.102287,2021-01-06 06:00:10.179804,12.851219,74.980752
292,2021-09-17 08:22:56.123317,2021-09-17 12:23:58.391259,16.066527,77.457018
293,2021-11-01 12:41:41.423520,2021-11-01 14:01:30.988648,12.917774,74.792021
294,2021-01-01 15:11:02.141501,2021-01-01 17:50:16.235188,13.102212,78.022804
295,2021-12-23 13:02:20.308497,,16.72009,75.575967
296,2021-10-10 05:13:39.549249,,15.427118,74.998791
297,2021-01-18 03:17:20.449359,,,
298,2021-08-17 08:48:07.430025,2021-08-17 10:35:35.953849,12.045378,76.517953
299,2021-01-09 15:20:44.339077,2021-01-09 16:25:27.855051,,
300,2021-12-01 10:29:02.388844,2021-12-01 11:16:19.916175,12.879181,74.666483
301,2021-10-06 12:20:58.669458,,13.166718,76.106011
302,2021-10-17 01:38:53.971435,2021-10-17 03:31:23.888501,,
303,2021-03-28 09:51:25.698407,,12.960445,76.171439
304,2021-06-14 12:16:43.235955,2021-06-14 12:41:07.897881,,
305,2021-11-07 08:13:57.864787,2021-11-07 09:24:12.362248,13.010111,77.603177
306,2021-12-09 04:44:16.259678,2021-12-09 04:54:46.204767,13.068613,77.456739
307,2021-06-06 03:32:06.644344,2021-06-06 06:02:01.213447,,
308,2021-08-29 07:10:05.024686,2021-08-29 07:52:20.212640,12.935833,77.554555
309,2021-06-25 03:01:43.154127,2021-06-25 04:30:09.321551,13.006607,77.576599
310,2021-03-16 17:43:42.823832,2021-03-16 18:05:59.984649,,
311,2021-04-18 14:59:34.527116,,13.968823,75.518784
312,2021-01-04 08:19:44.167534,2021-01-04 08:45:04.318185,15.291484,75.233366
313,2021-01-15 10:52:37.990882,2021-01-15 13:19:59.780940,12.510449,76.821181
314,2021-11-17 13:28:53.351987,,12.998827,77.516379
315,2021-05-09 14:30:39.234028,2021-05-09 17:08:33.641463,13.279495,77.171394
316,2021-05-11 10:37:21.424829,2021-05-11 10:38:11.923140,15.275388,76.887246
317,2021-12-07 10:22:37.844078,,14.962849,75.379919
318,2021-12-06 09:32:42.773488,,,
319,2021-01-16 12:08:37.766936,2021-01-16 14:45:09.483960,12.939793,74.832294
320,2021-03-30 00:50:16.186483,,14.385232,76.023013
321,2021-03-12 07:17:03.705938,2021-03-12 07:26:58.779584,11.834705,76.974049
322,2021-03-08 10:03:48.199981,2021-03-08 10:47:33.432965,12.970926,77.81506
323,2021-11-22 04:24:45.594618,,12.904452,77.406898
324,2021-08-02 06:37:46.567377,2021-08-02 13:22:52.003898,15.955519,74.450915
325,2021-04-28 15:18:47.929560,2021-04-28 16:09:46.543502,12.934907,77.526494
326,2021-12-06 19:27:41.491394,,16.049508,75.602067
327,2021-10-27 20:40:54.696299,,13.35137,77.02946
328,2021-10-24 09:46:02.712285,,12.911031,74.872319
329,2021-07-03 22:34:31.003744,,12.922115,74.827964
330,2021-06-02 08:45:17.871376,,,
331,2021-04-18 14:01:58.121722,2021-04-18 15:33:58.239604,15.440154,75.248051
332,2021-04-24 21:42:41.284377,2021-04-25 00:11:51.244017,16.097635,75.622008
333,2021-05-27 09:29:00.348168,2021-05-27 11:29:00.348168,12.762595,77.691596
334,2021-04-25 05:41:06.298177,2021-04-25 05:41:33.614924,12.928195,77.624797
335,2021-05-25 11:25:06.351634,,17.885349,77.374353
336,2021-07-25 07:57:48.875383,2021-07-25 08:28:46.127968,,
337,2021-09-28 12:58:13.766755,2021-09-28 13:51:52.572689,12.942849,77.61085
338,2021-04-10 17:33:12.765999,2021-04-10 17:39:15.652521,15.430707,75.579947
339,2021-01-08 06:10:53.660739,,,
340,2021-09-12 01:11:56.694693,2021-09-12 01:26:56.317595,15.857663,74.583644
341,2021-02-23 02:39:39.112358,2021-02-23 03:22:15.580759,14.978877,76.978053
342,2021-05-13 03:43:47.526526,,13.056062,77.568598
343,2021-05-31 02:16:09.537988,,12.944549,77.621762
344,2021-04-16 10:39:05.090987,2021-04-16 11:01:22.307959,16.188544,77.467822
345,2021-04-08 17:19:36.330936,2021-04-08 17:51:42.723460,,
346,2021-09-05 16:46:22.334908,,12.747983,74.800694
347,2021-08-21 06:36:13.396165,2021-08-21 09:24:49.124446,,
348,2021-10-01 09:55:57.306178,2021-10-01 11:55:57.306178,13.035444,77.48966
349,2021-07-10 23:09:49.965773,2021-07-11 00:13:52.923934,14.000583,75.543052
350,2021-03-15 15:29:10.801800,2021-03-15 17:29:10.801800,,
351,2021-09-29 02:56:55.507300,2021-09-29 03:31:37.722550,12.812863,76.200182
352,2021-04-06 08:01:19.922644,2021-04-06 09:44:15.395574,17.433827,76.928243
353,2021-02-28 13:35:27.691767,2021-02-28 15:35:27.691767,12.944291,77.47937
354,2021-07-16 00:08:14.430165,,13.017923,78.040737
355,2021-10-21 16:11:17.889720,2021-10-21 16:17:46.764003,13.077051,77.583956
356,2021-08-02 16:54:55.915710,2021-08-02 18:10:11.908986,,
357,2021-12-24 05:34:49.223927,2021-12-24 06:07:12.714271,12.882503,77.579404
358,2021-05-27 10:50:25.912415,2021-05-27 10:50:34.145895,12.764384,74.76106
359,2021-01-29 08:09:02.645959,,12.990271,77.575032
360,2021-09-29 05:52:57.727002,2021-09-29 07:52:57.727002,12.827055,77.490838
361,2021-01-02 14:58:27.367514,2021-01-02 16:36:21.683123,12.370395,76.703488
362,2021-09-16 05:47:11.842198,2021-09-16 06:01:57.768746,,
